# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-10 10:59:06,127980292,128402308,1564320,1.19,163300,829984,4309780,1.64,340860,1548132,548
plotter1,60,2022-01-10 11:00:06,126811576,127709112,2240248,1.70,168416,1316120,6256880,2.38,368784,2676104,80
plotter1,60,2022-01-10 11:01:06,126204204,127545844,2390372,1.82,177088,1764376,6234528,2.37,387804,3278236,72
plotter1,60,2022-01-10 11:02:06,125694500,127521856,2402208,1.82,184928,2254712,6253876,2.38,404952,3771012,88
plotter1,60,2022-01-10 11:03:06,125205928,127481736,2419436,1.84,190312,2720772,6283572,2.39,421448,4235440,696
plotter1,60,2022-01-10 11:04:06,124703828,127462508,2422064,1.84,191216,3219724,6304308,2.40,441712,4720936,132
plotter1,60,2022-01-10 11:05:06,124137092,127417068,2446164,1.86,193684,3760052,6337656,2.41,470152,5245596,4
plotter1,60,2022-01-10 11:06:06,123645800,127413156,2434560,1.85,194704,4262308,6351424,2.42,491388,5729924,760
plotter1,60,2022-01-10 11:07:06,123156536,127388396,2437200,1.85,195596,4747964,6379032,2.43,516796,6197120,784
plotter1,60,2022-01-10 11:08:06,122670380,127346128,2457160,1.87,196660,5212948,6407256,2.44,541296,6649388,8
plotter1,60,2022-01-10 11:09:06,122163812,127305052,2478664,1.88,197568,5696900,6431832,2.45,564880,7116540,128
plotter1,60,2022-01-10 11:10:06,121670444,127256440,2505604,1.90,198400,6162336,6464828,2.46,596880,7563064,120
plotter1,60,2022-01-10 11:11:06,121238332,127251124,2488912,1.89,199176,6610372,6486288,2.47,633472,7976868,100
plotter1,60,2022-01-10 11:12:06,120834776,127234156,2484640,1.89,199832,7017300,6508304,2.48,671436,8348052,112
plotter1,60,2022-01-10 11:13:06,120413816,127207944,2492140,1.89,200512,7430324,6528520,2.48,693208,8738152,888
plotter1,60,2022-01-10 11:14:06,119775684,127180888,2496564,1.90,201332,8062600,6551304,2.49,721684,9346036,140
plotter1,60,2022-01-10 11:15:06,119321196,127138352,2518356,1.91,201952,8494916,6578112,2.50,745756,9757404,952
plotter1,60,2022-01-10 11:16:06,118885068,127136640,2498760,1.90,202868,8950588,6597112,2.51,770664,10196268,72
plotter1,60,2022-01-10 11:17:06,118426392,127124388,2489548,1.89,203376,9417952,6619112,2.52,793256,10643268,336
plotter1,60,2022-01-10 11:18:06,117943232,127079548,2515880,1.91,203920,9873672,6641704,2.53,818388,11082948,944
plotter1,60,2022-01-10 11:19:06,117447872,127053428,2519244,1.91,204392,10365420,6665000,2.54,842720,11549804,80
plotter1,60,2022-01-10 11:20:06,116929136,127027568,2523080,1.92,204884,10879860,6692944,2.55,868216,12043576,544
plotter1,60,2022-01-10 11:21:06,116505260,127012224,2519428,1.91,205328,11306884,6706232,2.55,890192,12445700,516
plotter1,60,2022-01-10 11:22:06,116072068,126973100,2536444,1.93,205676,11722620,6730340,2.56,912792,12841540,56
plotter1,60,2022-01-10 11:23:06,115599124,126971752,2515404,1.91,206188,12216240,6753380,2.57,937196,13311972,648
plotter1,60,2022-01-10 11:24:06,115058108,126941948,2522608,1.92,206688,12744316,6776420,2.58,963660,13816248,96
plotter1,60,2022-01-10 11:25:06,114539196,126908372,2534992,1.92,207140,13245008,6803740,2.59,988080,14296384,52
plotter1,60,2022-01-10 11:26:06,114013780,126898252,2523264,1.92,207588,13776588,6822584,2.60,1014852,14800548,80
plotter1,60,2022-01-10 11:27:06,113567672,126887672,2518588,1.91,207972,14222556,6838248,2.60,1033984,15227152,680
plotter1,60,2022-01-10 11:28:06,113004492,126867320,2516304,1.91,208360,14781908,6861032,2.61,1060340,15762236,80
plotter1,60,2022-01-10 11:29:06,112483028,126846812,2514596,1.91,208816,15299800,6884584,2.62,1085928,16257020,84
plotter1,60,2022-01-10 11:30:06,111954352,126798164,2541308,1.93,209180,15796432,6912672,2.63,1111900,16729096,836
plotter1,60,2022-01-10 11:31:06,111515576,126778752,2538536,1.93,209560,16233048,6932216,2.64,1134532,17145720,4
plotter1,60,2022-01-10 11:32:06,111031968,126766604,2530028,1.92,209972,16719348,6952936,2.65,1158868,17607408,8
plotter1,60,2022-01-10 11:33:06,110568676,126749744,2527704,1.92,210268,17180012,6972136,2.65,1182316,18046904,856
plotter1,60,2022-01-10 11:34:06,110008592,126732656,2526856,1.92,210656,17734964,6990312,2.66,1206856,18576432,4
plotter1,60,2022-01-10 11:35:06,109491768,126701568,2539296,1.93,211344,18233940,7021628,2.67,1232532,19061400,84
plotter1,60,2022-01-10 11:36:06,109085568,126677936,2542732,1.93,211912,18631888,7040804,2.68,1253880,19439156,552
plotter1,60,2022-01-10 11:37:06,108563244,126617972,2583192,1.96,213988,19106900,7101764,2.70,1279284,19929544,64
plotter1,60,2022-01-10 11:38:06,108116824,126660640,2523172,1.92,214276,19608172,7077644,2.69,1302608,20374728,72
plotter1,60,2022-01-10 11:39:06,107641220,126613432,2549504,1.94,214532,20053080,7099148,2.70,1326456,20797164,68
plotter1,60,2022-01-10 11:40:06,107144500,126593136,2548056,1.93,214880,20545728,7126980,2.71,1350132,21269288,44
plotter1,60,2022-01-10 11:41:06,106692376,126564228,2554940,1.94,215248,20986132,7146800,2.72,1374132,21686604,572
plotter1,60,2022-01-10 11:42:06,106196520,126554416,2544132,1.93,215612,21487960,7168288,2.73,1398224,22163084,564
plotter1,60,2022-01-10 11:43:06,105735180,126534260,2542440,1.93,215900,21946416,7190304,2.74,1421592,22599164,56
plotter1,60,2022-01-10 11:44:06,105239136,126509352,2546196,1.93,216232,22433436,7211552,2.74,1446468,23064120,668
plotter1,60,2022-01-10 11:45:06,104786092,126474348,2560280,1.94,216544,22867832,7239384,2.75,1469344,23476808,660
plotter1,60,2022-01-10 11:46:06,104283136,126456408,2557132,1.94,216860,23368720,7255072,2.76,1494304,23952352,692
plotter1,60,2022-01-10 11:47:06,103844680,126431476,2562332,1.95,217172,23797236,7275056,2.77,1515988,24363104,84
plotter1,60,2022-01-10 11:48:06,103382472,126396996,2580248,1.96,217416,24236716,7291424,2.77,1536852,24783836,784
plotter1,60,2022-01-10 11:49:06,102963972,126396316,2562672,1.95,217700,24668284,7310368,2.78,1559860,25194452,776
plotter1,60,2022-01-10 11:50:06,102464304,126373500,2574744,1.96,217996,25150828,7326936,2.79,1579852,25663152,96
plotter1,60,2022-01-10 11:51:06,102037116,126350460,2580084,1.96,218256,25568376,7340320,2.79,1601324,26059632,860
plotter1,60,2022-01-10 11:52:06,101577296,126352704,2564972,1.95,218532,26038284,7352880,2.80,1621140,26509460,80
plotter1,60,2022-01-10 11:53:06,101110416,126330892,2565212,1.95,218712,26500280,7375136,2.81,1646348,26947532,916
plotter1,60,2022-01-10 11:54:06,100619820,126297804,2576752,1.96,218956,26973932,7396640,2.81,1671872,27396820,8
plotter1,60,2022-01-10 11:55:06,100155008,126255680,2601392,1.98,219252,27409548,7420372,2.82,1693164,27822372,112
plotter1,60,2022-01-10 11:56:06,99708276,126268240,2567340,1.95,219524,27885508,7441772,2.83,1717588,28276148,468
plotter1,60,2022-01-10 11:57:06,99273732,126225632,2587708,1.96,219720,28295100,7463804,2.84,1739572,28665796,312
plotter1,60,2022-01-10 11:58:06,98778856,126185000,2605732,1.98,219944,28767044,7492204,2.85,1764600,29119156,392
plotter1,60,2022-01-10 11:59:06,98321716,126174892,2599860,1.97,220228,29225752,7508588,2.86,1787380,29560344,456
plotter1,60,2022-01-10 12:00:06,97846492,126157020,2596908,1.97,220508,29699228,7536120,2.87,1812740,30010404,144
plotter1,60,2022-01-10 12:01:06,97434268,126133420,2599752,1.97,220724,30104840,7552108,2.87,1833756,30395448,4
plotter1,60,2022-01-10 12:02:06,96984196,126105776,2606680,1.98,220964,30543260,7573116,2.88,1858760,30814372,92
plotter1,60,2022-01-10 12:03:06,96580436,126083712,2614292,1.99,221144,30935228,7587436,2.89,1878036,31192796,584
plotter1,60,2022-01-10 12:04:06,96107288,126061300,2616872,1.99,221368,31401196,7618412,2.90,1901872,31649660,624
plotter1,60,2022-01-10 12:05:06,95663688,126025188,2633980,2.00,221616,31823844,7645988,2.91,1925348,32055380,656
plotter1,60,2022-01-10 12:06:06,95137168,126017588,2623680,1.99,221868,32355364,7658092,2.91,1949460,32563728,184
plotter1,60,2022-01-10 12:07:06,94697236,125998588,2625928,1.99,222060,32788804,7675004,2.92,1971276,32975836,116
plotter1,60,2022-01-10 12:08:06,94162424,125961820,2642084,2.01,222272,33302404,7695468,2.93,1996344,33465396,204
plotter1,60,2022-01-10 12:09:06,93648444,125936272,2646152,2.01,222488,33807360,7716972,2.94,2023164,33952816,788
plotter1,60,2022-01-10 12:10:06,93148860,125896308,2665316,2.02,222720,34283180,7744036,2.95,2049136,34410736,588
plotter1,60,2022-01-10 12:11:06,92710592,125886020,2654504,2.02,222948,34727756,7759468,2.95,2073348,34832476,108
plotter1,60,2022-01-10 12:12:06,92189424,125872084,2649660,2.01,223160,35248168,7778428,2.96,2097132,35330240,884
plotter1,60,2022-01-10 12:13:06,91794260,125840404,2665040,2.02,223364,35624192,7795052,2.97,2118756,35687552,184
plotter1,60,2022-01-10 12:14:06,91336032,125819276,2666516,2.02,223584,36076236,7815532,2.97,2142068,36118632,308
plotter1,60,2022-01-10 12:15:06,90867076,125784012,2681624,2.04,223876,36525152,7841828,2.98,2165356,36555652,876
plotter1,60,2022-01-10 12:16:06,90452036,125772204,2673396,2.03,224072,36944720,7856748,2.99,2188608,36952308,896
plotter1,60,2022-01-10 12:17:06,89998176,125761188,2663100,2.02,224356,37404016,7878508,3.00,2214132,37389092,552
plotter1,60,2022-01-10 12:18:06,89580292,125742252,2665644,2.02,224508,37815176,7895164,3.00,2234772,37782472,136
plotter1,60,2022-01-10 12:19:06,89138272,125720780,2669484,2.03,224748,38249248,7922408,3.01,2256400,38205296,408
plotter1,60,2022-01-10 12:20:06,88687476,125684132,2685780,2.04,224984,38679572,7949584,3.02,2281012,38615088,436
plotter1,60,2022-01-10 12:21:06,88286136,125691408,2656892,2.02,225208,39105300,7945244,3.02,2306652,38997528,548
plotter1,60,2022-01-10 12:22:06,87788532,125652056,2678228,2.03,225404,39577492,7984944,3.04,2330532,39468776,152
plotter1,60,2022-01-10 12:23:06,87097340,125436760,2855252,2.17,225608,40086688,8053076,3.06,2398500,40072900,564
plotter1,60,2022-01-10 12:24:06,86527720,125355748,2916148,2.21,225796,40590324,8077252,3.07,2474004,40565280,660
plotter1,60,2022-01-10 12:25:06,86060652,125316748,2943652,2.24,226012,41025744,8099708,3.08,2504864,40993184,676
plotter1,60,2022-01-10 12:26:06,85558576,125292300,2952096,2.24,226184,41514480,8135160,3.10,2537200,41476244,144
