# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-10 10:59:06,-1,3.44,0.00,1.69,6.89,0.00,87.97
plotter1,60,2022-01-10 11:00:06,-1,24.22,0.00,0.34,6.98,0.00,68.46
plotter1,60,2022-01-10 11:01:06,-1,20.08,0.00,0.30,7.63,0.00,71.99
plotter1,60,2022-01-10 11:02:06,-1,19.83,0.00,0.26,6.69,0.00,73.22
plotter1,60,2022-01-10 11:03:06,-1,35.89,0.00,0.29,5.73,0.00,58.09
plotter1,60,2022-01-10 11:04:06,-1,28.22,0.00,0.26,7.49,0.00,64.02
plotter1,60,2022-01-10 11:05:06,-1,34.41,0.00,0.30,7.36,0.00,57.93
plotter1,60,2022-01-10 11:06:06,-1,25.71,0.00,0.29,7.60,0.00,66.39
plotter1,60,2022-01-10 11:07:06,-1,34.93,0.00,0.28,6.92,0.00,57.86
plotter1,60,2022-01-10 11:08:06,-1,35.41,0.00,0.27,5.99,0.00,58.34
plotter1,60,2022-01-10 11:09:06,-1,31.30,0.00,0.27,6.97,0.00,61.45
plotter1,60,2022-01-10 11:10:06,-1,34.41,0.00,0.29,7.12,0.00,58.19
plotter1,60,2022-01-10 11:11:06,-1,34.97,0.00,0.30,6.10,0.00,58.62
plotter1,60,2022-01-10 11:12:06,-1,33.98,0.00,0.27,5.44,0.00,60.31
plotter1,60,2022-01-10 11:13:06,-1,29.58,0.00,0.25,5.79,0.00,64.38
plotter1,60,2022-01-10 11:14:06,-1,35.37,0.00,0.31,8.79,0.00,55.53
plotter1,60,2022-01-10 11:15:06,-1,33.89,0.00,0.30,6.50,0.00,59.31
plotter1,60,2022-01-10 11:16:06,-1,35.37,0.00,0.31,7.82,0.00,56.50
plotter1,60,2022-01-10 11:17:06,-1,34.06,0.00,0.29,6.00,0.00,59.65
plotter1,60,2022-01-10 11:18:06,-1,30.87,0.00,0.48,6.39,0.00,62.26
plotter1,60,2022-01-10 11:19:06,-1,35.25,0.00,0.27,6.73,0.00,57.75
plotter1,60,2022-01-10 11:20:06,-1,35.75,0.00,0.29,7.16,0.00,56.80
plotter1,60,2022-01-10 11:21:06,-1,30.62,0.00,0.28,6.32,0.00,62.78
plotter1,60,2022-01-10 11:22:06,-1,35.92,0.00,0.27,5.64,0.00,58.16
plotter1,60,2022-01-10 11:23:06,-1,35.74,0.00,0.27,6.65,0.00,57.34
plotter1,60,2022-01-10 11:24:06,-1,35.53,0.00,0.29,6.56,0.00,57.62
plotter1,60,2022-01-10 11:25:06,-1,33.99,0.00,0.30,7.24,0.00,58.46
plotter1,60,2022-01-10 11:26:06,-1,35.52,0.00,0.31,7.34,0.00,56.84
plotter1,60,2022-01-10 11:27:06,-1,25.35,0.00,0.26,6.40,0.00,67.99
plotter1,60,2022-01-10 11:28:06,-1,35.45,0.00,0.29,6.77,0.00,57.49
plotter1,60,2022-01-10 11:29:06,-1,35.73,0.00,0.30,6.83,0.00,57.14
plotter1,60,2022-01-10 11:30:06,-1,35.12,0.00,0.29,7.39,0.00,57.19
plotter1,60,2022-01-10 11:31:06,-1,35.18,0.00,0.31,6.23,0.00,58.28
plotter1,60,2022-01-10 11:32:06,-1,32.70,0.00,0.28,7.59,0.00,59.43
plotter1,60,2022-01-10 11:33:06,-1,30.53,0.00,0.27,5.97,0.00,63.23
plotter1,60,2022-01-10 11:34:06,-1,27.77,0.00,0.29,7.13,0.00,64.81
plotter1,60,2022-01-10 11:35:06,-1,32.61,0.00,0.49,7.33,0.00,59.56
plotter1,60,2022-01-10 11:36:06,-1,31.34,0.00,0.28,5.90,0.00,62.48
plotter1,60,2022-01-10 11:37:06,-1,32.33,0.00,0.30,6.33,0.00,61.03
plotter1,60,2022-01-10 11:38:06,-1,27.95,0.00,0.27,6.76,0.00,65.02
plotter1,60,2022-01-10 11:39:06,-1,34.15,0.00,0.27,5.84,0.00,59.74
plotter1,60,2022-01-10 11:40:06,-1,34.58,0.00,0.31,6.72,0.00,58.38
plotter1,60,2022-01-10 11:41:06,-1,35.43,0.00,0.29,6.67,0.00,57.60
plotter1,60,2022-01-10 11:42:06,-1,33.27,0.00,0.27,6.71,0.00,59.74
plotter1,60,2022-01-10 11:43:06,-1,35.29,0.00,0.28,6.31,0.00,58.13
plotter1,60,2022-01-10 11:44:06,-1,33.28,0.00,0.27,5.83,0.00,60.62
plotter1,60,2022-01-10 11:45:06,-1,34.30,0.00,0.28,6.00,0.00,59.41
plotter1,60,2022-01-10 11:46:06,-1,34.46,0.00,0.29,7.34,0.00,57.91
plotter1,60,2022-01-10 11:47:06,-1,30.57,0.00,0.27,5.80,0.00,63.37
plotter1,60,2022-01-10 11:48:06,-1,27.16,0.00,0.26,5.78,0.00,66.80
plotter1,60,2022-01-10 11:49:06,-1,27.91,0.00,0.26,6.28,0.00,65.55
plotter1,60,2022-01-10 11:50:06,-1,18.05,0.00,0.25,6.79,0.00,74.90
plotter1,60,2022-01-10 11:51:06,-1,28.35,0.00,0.27,6.53,0.00,64.84
plotter1,60,2022-01-10 11:52:06,-1,20.19,0.00,0.24,6.54,0.00,73.03
plotter1,60,2022-01-10 11:53:06,-1,34.73,0.00,0.28,6.40,0.00,58.59
plotter1,60,2022-01-10 11:54:06,-1,33.03,0.00,0.26,6.27,0.00,60.44
plotter1,60,2022-01-10 11:55:06,-1,27.50,0.00,0.27,5.97,0.00,66.27
plotter1,60,2022-01-10 11:56:06,-1,34.70,0.00,0.30,6.66,0.00,58.34
plotter1,60,2022-01-10 11:57:06,-1,34.49,0.00,0.28,5.81,0.00,59.42
plotter1,60,2022-01-10 11:58:06,-1,35.60,0.00,0.28,6.38,0.00,57.73
plotter1,60,2022-01-10 11:59:06,-1,26.47,0.00,0.26,5.85,0.00,67.43
plotter1,60,2022-01-10 12:00:06,-1,32.79,0.00,0.29,6.59,0.00,60.33
plotter1,60,2022-01-10 12:01:06,-1,34.30,0.00,0.29,5.85,0.00,59.56
plotter1,60,2022-01-10 12:02:06,-1,32.70,0.00,0.28,6.09,0.00,60.93
plotter1,60,2022-01-10 12:03:06,-1,21.99,0.00,0.25,5.34,0.00,72.42
plotter1,60,2022-01-10 12:04:06,-1,31.85,0.00,0.28,5.93,0.00,61.93
plotter1,60,2022-01-10 12:05:06,-1,32.20,0.00,0.47,6.29,0.00,61.03
plotter1,60,2022-01-10 12:06:06,-1,29.07,0.00,0.30,8.06,0.00,62.56
plotter1,60,2022-01-10 12:07:06,-1,27.54,0.00,0.26,5.87,0.00,66.32
plotter1,60,2022-01-10 12:08:06,-1,32.32,0.00,0.28,6.63,0.00,60.77
plotter1,60,2022-01-10 12:09:06,-1,32.62,0.00,0.27,6.88,0.00,60.23
plotter1,60,2022-01-10 12:10:06,-1,34.82,0.00,0.30,6.74,0.00,58.14
plotter1,60,2022-01-10 12:11:06,-1,31.97,0.00,0.28,5.94,0.00,61.81
plotter1,60,2022-01-10 12:12:06,-1,29.95,0.00,0.28,7.42,0.00,62.35
plotter1,60,2022-01-10 12:13:06,-1,25.95,0.00,0.24,5.34,0.00,68.46
plotter1,60,2022-01-10 12:14:06,-1,31.00,0.00,0.27,6.38,0.00,62.35
plotter1,60,2022-01-10 12:15:06,-1,30.79,0.00,0.28,6.77,0.00,62.17
