# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-08 01:24:36,nvme0n1,2.37,25.07,13.00,4.53,18.00,0.01,3.34,0.58
plotter1,60,2022-01-08 01:24:36,nvme1n1,1.33,24.00,9.80,5.80,29.70,0.01,6.49,0.59
plotter1,60,2022-01-08 01:24:36,nvme2n1,1.27,23.20,9.53,5.73,30.37,0.01,6.17,0.62
plotter1,60,2022-01-08 01:24:36,sda,11.48,572.80,0.00,0.00,49.88,0.09,7.90,2.88
plotter1,60,2022-01-08 01:24:36,sdb,7.10,345.20,0.00,0.00,48.62,0.04,5.49,1.65
plotter1,60,2022-01-08 01:24:36,sdc,6.35,287.80,0.00,0.00,45.32,0.04,5.85,1.48
plotter1,60,2022-01-08 01:24:36,sdd,11.92,542.87,0.00,0.00,45.56,0.07,5.85,2.33
plotter1,60,2022-01-08 01:24:36,sde,40.33,1483.07,97.00,0.00,39.18,0.03,0.60,1.86
plotter1,60,2022-01-08 01:24:36,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:24:36,sde2,40.33,1483.07,97.00,0.00,39.18,0.02,0.60,1.86
plotter1,60,2022-01-08 01:24:36,sdf,11.92,598.27,0.00,0.00,50.20,0.06,5.34,2.47
plotter1,60,2022-01-08 01:24:36,sdg,7.83,362.87,0.00,0.00,46.32,0.03,4.38,1.43
plotter1,60,2022-01-08 01:24:36,sdh,6.37,291.87,0.00,0.00,45.84,0.03,5.33,1.45
plotter1,60,2022-01-08 01:24:36,dm-0,5.20,72.27,32.73,16.07,23.28,0.03,5.31,0.78
plotter1,60,2022-01-08 01:24:36,sdi,1.95,117.67,0.00,0.00,60.34,0.01,6.31,0.98
plotter1,60,2022-01-08 01:24:36,sdj,4.52,276.53,0.00,0.00,61.23,0.05,11.38,2.15
plotter1,60,2022-01-08 01:24:36,sdo,0.02,0.07,0.00,0.00,4.00,0.00,20.00,0.04
plotter1,60,2022-01-08 01:24:36,sdq,2.95,194.13,0.00,0.00,65.81,0.03,9.46,1.26
plotter1,60,2022-01-08 01:24:36,sds,0.70,42.13,0.00,0.00,60.19,0.01,9.98,0.39
plotter1,60,2022-01-08 01:24:36,sdt,2.00,97.13,0.00,0.00,48.57,0.01,6.29,0.64
plotter1,60,2022-01-08 01:24:36,sdu,3.25,194.80,0.00,0.00,59.94,0.03,9.66,1.66
plotter1,60,2022-01-08 01:24:36,sdv,1.62,91.80,0.00,0.00,56.78,0.01,6.88,0.58
plotter1,60,2022-01-08 01:24:36,sdx,3.50,192.00,0.00,0.00,54.86,0.03,8.05,1.93
plotter1,60,2022-01-08 01:24:36,sdy,3.05,143.67,0.00,0.00,47.10,0.02,6.32,1.12
plotter1,60,2022-01-08 01:24:36,sdz,3.05,190.67,0.00,0.00,62.51,0.02,6.25,1.15
plotter1,60,2022-01-08 01:24:36,sdaa,2.82,164.27,0.00,0.00,58.32,0.02,5.71,1.11
plotter1,60,2022-01-08 01:24:36,sdac,3.10,133.67,0.00,0.00,43.12,0.02,6.63,1.15
plotter1,60,2022-01-08 01:24:36,sdab,2.88,140.67,0.00,0.00,48.79,0.02,5.44,0.89
plotter1,60,2022-01-08 01:24:36,sdad,1.92,84.33,0.00,0.00,44.00,0.01,7.15,0.79
plotter1,60,2022-01-08 01:24:36,sdae,4.27,238.87,0.00,0.00,55.98,0.03,7.57,1.94
plotter1,60,2022-01-08 01:24:36,sdaf,3.25,166.40,0.00,0.00,51.20,0.02,6.09,1.14
plotter1,60,2022-01-08 01:24:36,sdag,2.20,103.87,0.00,0.00,47.21,0.01,5.39,0.71
plotter1,60,2022-01-08 01:24:36,sdah,3.57,222.27,0.00,0.00,62.32,0.02,6.70,1.48
plotter1,60,2022-01-08 01:24:36,sdai,1.15,59.93,0.00,0.00,52.12,0.01,7.93,0.55
plotter1,60,2022-01-08 01:24:36,sdaj,1.77,107.20,0.00,0.00,60.68,0.01,6.71,0.87
plotter1,60,2022-01-08 01:24:36,sdak,1.73,102.20,0.00,0.00,58.96,0.01,5.62,0.67
plotter1,60,2022-01-08 01:24:36,sdal,2.05,114.93,0.00,0.00,56.07,0.01,5.28,0.84
plotter1,60,2022-01-08 01:24:36,sdam,1.88,99.40,0.00,0.00,52.78,0.01,5.62,0.79
plotter1,60,2022-01-08 01:24:36,sdan,2.30,145.33,0.00,0.00,63.19,0.01,6.18,0.98
plotter1,60,2022-01-08 01:24:36,sdao,1.77,82.00,0.00,0.00,46.42,0.01,5.64,0.62
plotter1,60,2022-01-08 01:24:36,sdap,0.35,17.20,0.00,0.00,49.14,0.00,7.57,0.14
plotter1,60,2022-01-08 01:24:36,sdl,2.78,63.20,0.00,0.00,22.71,0.02,6.32,0.97
plotter1,60,2022-01-08 01:24:36,sdk,3.18,73.40,0.00,0.00,23.06,0.02,5.75,1.09
