# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-08 01:24:36,lo,8.77,8.77,3.81,3.81,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:24:36,enp9s0,653.93,991.03,339.69,1233.91,0.00,0.00,0.42,0.40
plotter1,60,2022-01-08 01:25:36,lo,14.23,14.23,9.61,9.61,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:25:36,enp9s0,584.37,1016.03,218.71,1317.23,0.00,0.00,0.43,0.43
plotter1,60,2022-01-08 01:26:36,lo,11.60,11.60,8.59,8.59,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:26:36,enp9s0,569.55,1018.15,185.15,1325.84,0.00,0.00,0.40,0.43
plotter1,60,2022-01-08 01:27:36,lo,6.55,6.55,63.38,63.38,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:27:36,enp9s0,592.57,1080.52,189.06,1406.81,0.00,0.00,0.42,0.46
plotter1,60,2022-01-08 01:28:36,lo,2.93,2.93,4.12,4.12,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:28:36,enp9s0,653.10,1149.30,221.24,1495.12,0.00,0.00,0.42,0.49
plotter1,60,2022-01-08 01:29:36,lo,2.30,2.30,2.71,2.71,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:29:36,enp9s0,586.93,1019.03,196.80,1327.19,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 01:30:36,lo,3.53,3.53,5.06,5.06,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:30:36,enp9s0,586.65,993.67,232.71,1273.52,0.00,0.00,0.42,0.42
plotter1,60,2022-01-08 01:31:36,lo,2.30,2.30,3.27,3.27,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:31:36,enp9s0,585.98,1039.80,182.97,1338.75,0.00,0.00,0.42,0.44
plotter1,60,2022-01-08 01:32:36,lo,2.73,2.73,3.27,3.27,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:32:36,enp9s0,582.48,1013.72,201.65,1321.35,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 01:33:36,lo,7.12,7.12,64.62,64.62,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:33:36,enp9s0,669.50,1165.83,236.60,1518.00,0.00,0.00,0.42,0.50
plotter1,60,2022-01-08 01:34:36,lo,3.23,3.23,4.64,4.64,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:34:36,enp9s0,601.00,1031.95,221.03,1331.14,0.00,0.00,0.40,0.44
plotter1,60,2022-01-08 01:35:36,lo,2.90,2.90,4.02,4.02,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:35:36,enp9s0,590.78,1000.73,220.79,1279.47,0.00,0.00,0.40,0.42
plotter1,60,2022-01-08 01:36:36,lo,4.00,4.00,5.59,5.59,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:36:36,enp9s0,705.83,1169.50,283.53,1484.05,0.00,0.00,0.40,0.49
plotter1,60,2022-01-08 01:37:36,lo,2.40,2.40,3.00,3.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:37:36,enp9s0,571.97,1008.98,197.15,1300.61,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 01:38:36,lo,6.93,6.93,64.69,64.69,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:38:36,enp9s0,600.17,1096.77,197.69,1418.21,0.00,0.00,0.40,0.46
plotter1,60,2022-01-08 01:39:36,lo,2.43,2.43,3.00,3.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:39:36,enp9s0,607.90,1066.33,207.98,1377.53,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 01:40:36,lo,3.07,3.07,4.31,4.31,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:40:36,enp9s0,614.92,1058.27,222.44,1365.51,0.00,0.00,0.40,0.45
plotter1,60,2022-01-08 01:41:36,lo,2.57,2.57,3.14,3.14,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:41:36,enp9s0,560.15,972.80,202.04,1253.48,0.00,0.00,0.42,0.41
plotter1,60,2022-01-08 01:42:36,lo,2.23,2.23,3.12,3.12,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:42:36,enp9s0,581.15,1041.72,181.91,1355.07,0.00,0.00,0.40,0.44
plotter1,60,2022-01-08 01:43:36,lo,7.12,7.12,71.00,71.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:43:36,enp9s0,598.77,1052.48,192.06,1370.52,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 01:44:36,lo,2.07,2.07,2.75,2.75,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:44:36,enp9s0,598.43,1068.35,187.41,1394.83,0.00,0.00,0.40,0.46
plotter1,60,2022-01-08 01:45:36,lo,2.90,2.90,4.73,4.73,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:45:36,enp9s0,640.92,1102.47,206.11,1438.11,0.00,0.00,0.42,0.47
plotter1,60,2022-01-08 01:46:36,lo,2.97,2.97,3.97,3.97,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:46:36,enp9s0,632.67,1087.23,232.86,1404.13,0.00,0.00,0.40,0.46
plotter1,60,2022-01-08 01:47:36,lo,2.63,2.63,3.94,3.94,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:47:36,enp9s0,606.18,1065.08,203.81,1388.14,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 01:48:36,lo,16.12,16.12,210.97,210.97,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:48:36,enp9s0,614.32,1128.25,180.74,1486.10,0.00,0.00,0.40,0.49
plotter1,60,2022-01-08 01:49:36,lo,3.00,3.00,3.90,3.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:49:36,enp9s0,616.75,1035.33,234.48,1332.95,0.00,0.00,0.42,0.44
plotter1,60,2022-01-08 01:50:36,lo,3.37,3.37,4.64,4.64,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:50:36,enp9s0,611.73,1004.22,254.05,1272.32,0.00,0.00,0.42,0.42
plotter1,60,2022-01-08 01:51:36,lo,3.50,3.50,4.36,4.36,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:51:36,enp9s0,627.32,1065.18,256.30,1363.75,0.00,0.00,0.40,0.45
plotter1,60,2022-01-08 01:52:36,lo,2.50,2.50,3.76,3.76,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:52:36,enp9s0,561.65,1010.97,181.22,1321.34,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 01:53:36,lo,9.47,9.47,92.68,92.68,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:53:36,enp9s0,706.92,1264.55,253.56,1658.37,0.00,0.00,0.42,0.54
plotter1,60,2022-01-08 01:54:36,lo,3.50,3.50,5.11,5.11,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:54:36,enp9s0,601.32,1036.78,229.56,1336.39,0.00,0.00,0.42,0.44
plotter1,60,2022-01-08 01:55:36,lo,4.03,4.03,5.35,5.35,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:55:36,enp9s0,693.33,1128.88,294.27,1444.87,0.00,0.00,0.42,0.47
plotter1,60,2022-01-08 01:56:36,lo,4.27,4.27,5.84,5.84,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:56:36,enp9s0,633.52,1027.68,281.60,1306.67,0.00,0.00,0.40,0.43
plotter1,60,2022-01-08 01:57:36,lo,3.90,3.90,5.17,5.17,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:57:36,enp9s0,672.33,1131.75,268.18,1452.00,0.00,0.00,0.43,0.48
plotter1,60,2022-01-08 01:58:36,lo,7.93,7.93,65.88,65.88,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:58:36,enp9s0,663.92,1109.47,282.23,1425.24,0.00,0.00,0.40,0.47
plotter1,60,2022-01-08 01:59:36,lo,3.63,3.63,4.36,4.36,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 01:59:36,enp9s0,619.45,1010.75,264.84,1282.22,0.00,0.00,0.40,0.42
plotter1,60,2022-01-08 02:00:36,lo,3.77,3.77,4.90,4.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:00:36,enp9s0,623.70,1034.15,267.21,1317.18,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 02:01:36,lo,3.90,3.90,5.47,5.47,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:01:36,enp9s0,587.43,949.88,264.58,1188.97,0.00,0.00,0.42,0.39
plotter1,60,2022-01-08 02:02:36,lo,3.77,3.77,5.45,5.45,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:02:36,enp9s0,647.23,1044.35,273.84,1327.17,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 02:03:36,lo,3.17,3.17,4.43,4.43,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:03:36,enp9s0,654.73,1116.32,241.43,1442.20,0.00,0.00,0.40,0.47
plotter1,60,2022-01-08 02:04:36,lo,10.72,10.72,111.68,111.68,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:04:36,enp9s0,655.93,1105.35,266.15,1421.48,0.00,0.00,0.43,0.47
plotter1,60,2022-01-08 02:05:36,lo,3.33,3.33,4.17,4.17,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:05:36,enp9s0,657.65,1127.18,232.81,1463.55,0.00,0.00,0.40,0.48
plotter1,60,2022-01-08 02:06:36,lo,7.98,7.98,64.26,64.26,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:06:36,enp9s0,590.72,1004.35,221.66,1298.42,0.00,0.00,0.43,0.43
plotter1,60,2022-01-08 02:07:36,lo,7.45,7.45,53.09,53.09,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:07:36,enp9s0,706.22,1193.28,283.23,1524.91,0.00,0.00,0.42,0.50
plotter1,60,2022-01-08 02:08:36,lo,5.42,5.42,19.70,19.70,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:08:36,enp9s0,696.20,1166.90,276.03,1509.72,0.00,0.00,0.42,0.49
plotter1,60,2022-01-08 02:09:36,lo,7.63,7.63,65.59,65.59,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:09:36,enp9s0,699.67,1209.08,265.72,1570.96,0.00,0.00,0.42,0.51
plotter1,60,2022-01-08 02:10:36,lo,3.10,3.10,4.36,4.36,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:10:36,enp9s0,626.08,1077.53,232.16,1385.42,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 02:11:36,lo,3.17,3.17,3.95,3.95,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:11:36,enp9s0,612.95,1008.42,245.99,1284.32,0.00,0.00,0.42,0.42
plotter1,60,2022-01-08 02:12:36,lo,3.03,3.03,3.57,3.57,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:12:36,enp9s0,626.78,1069.88,237.50,1380.68,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 02:13:36,lo,3.13,3.13,4.36,4.36,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:13:36,enp9s0,612.58,1087.63,243.53,1407.64,0.00,0.00,0.42,0.46
plotter1,60,2022-01-08 02:14:36,lo,8.07,8.07,66.44,66.44,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:14:36,enp9s0,623.32,1074.85,262.15,1372.83,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 02:15:36,lo,2.63,2.63,3.84,3.84,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:15:36,enp9s0,613.13,1085.90,209.24,1414.69,0.00,0.00,0.42,0.46
plotter1,60,2022-01-08 02:16:36,lo,3.40,3.40,4.75,4.75,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:16:36,enp9s0,541.47,897.43,228.40,1127.54,0.00,0.00,0.40,0.37
plotter1,60,2022-01-08 02:17:36,lo,3.77,3.77,4.73,4.73,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:17:36,enp9s0,644.45,1051.18,278.39,1333.62,0.00,0.00,0.42,0.44
plotter1,60,2022-01-08 02:18:36,lo,3.63,3.63,4.90,4.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:18:36,enp9s0,654.55,1093.85,269.20,1399.73,0.00,0.00,0.42,0.46
plotter1,60,2022-01-08 02:19:36,lo,8.07,8.07,66.10,66.10,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:19:36,enp9s0,661.63,1166.90,264.58,1507.24,0.00,0.00,0.40,0.49
plotter1,60,2022-01-08 02:20:36,lo,3.50,3.50,4.90,4.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:20:36,enp9s0,572.63,945.58,237.44,1202.50,0.00,0.00,0.40,0.39
plotter1,60,2022-01-08 02:21:36,lo,3.23,3.23,4.18,4.18,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:21:36,enp9s0,631.28,1098.73,230.60,1416.44,0.00,0.00,0.42,0.46
plotter1,60,2022-01-08 02:22:36,lo,3.37,3.37,4.67,4.67,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:22:36,enp9s0,587.55,985.95,237.28,1263.77,0.00,0.00,0.43,0.41
plotter1,60,2022-01-08 02:23:36,lo,3.30,3.30,3.79,3.79,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:23:36,enp9s0,627.42,1032.25,251.74,1312.25,0.00,0.00,0.42,0.43
plotter1,60,2022-01-08 02:24:36,lo,8.30,8.30,72.35,72.35,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:24:36,enp9s0,708.27,1227.68,276.10,1591.64,0.00,0.00,0.40,0.52
plotter1,60,2022-01-08 02:25:36,lo,3.67,3.67,4.49,4.49,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:25:36,enp9s0,615.88,1006.10,262.51,1279.26,0.00,0.00,0.42,0.42
plotter1,60,2022-01-08 02:26:36,lo,8.82,8.82,63.72,63.72,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:26:36,enp9s0,651.55,1030.98,297.73,1298.98,0.00,0.00,0.40,0.43
plotter1,60,2022-01-08 02:27:36,lo,7.13,7.13,53.15,53.15,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:27:36,enp9s0,618.88,1023.17,260.35,1285.68,0.00,0.00,0.42,0.42
plotter1,60,2022-01-08 02:28:36,lo,4.62,4.62,18.83,18.83,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:28:36,enp9s0,642.17,1093.27,252.07,1409.43,0.00,0.00,0.42,0.46
plotter1,60,2022-01-08 02:29:36,lo,8.48,8.48,79.98,79.98,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:29:36,enp9s0,672.93,1170.02,267.39,1511.46,0.00,0.00,0.42,0.50
plotter1,60,2022-01-08 02:30:36,lo,3.63,3.63,4.78,4.78,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 02:30:36,enp9s0,573.70,934.00,249.93,1179.46,0.00,0.00,0.42,0.39
plotter1,60,2022-01-08 02:31:36,lo,3.80,3.80,5.02,5.02,0.00,0.00,0.00,0.00
