# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-08 01:24:36,-1,3.27,0.00,0.32,6.61,0.00,89.79
plotter1,60,2022-01-08 01:25:36,-1,25.73,0.00,0.30,7.50,0.00,66.48
plotter1,60,2022-01-08 01:26:36,-1,17.59,0.00,0.26,6.74,0.00,75.41
plotter1,60,2022-01-08 01:27:36,-1,17.28,0.00,0.21,7.25,0.00,75.25
plotter1,60,2022-01-08 01:28:36,-1,21.25,0.00,0.22,8.35,0.00,70.17
plotter1,60,2022-01-08 01:29:36,-1,18.47,0.00,0.21,7.59,0.00,73.72
plotter1,60,2022-01-08 01:30:36,-1,27.48,0.00,0.27,8.21,0.00,64.04
plotter1,60,2022-01-08 01:31:36,-1,16.21,0.00,0.26,6.22,0.00,77.30
plotter1,60,2022-01-08 01:32:36,-1,19.60,0.00,0.21,6.91,0.00,73.29
plotter1,60,2022-01-08 01:33:36,-1,23.37,0.00,0.22,7.29,0.00,69.11
plotter1,60,2022-01-08 01:34:36,-1,23.63,0.00,0.23,6.04,0.00,70.10
plotter1,60,2022-01-08 01:35:36,-1,24.40,0.00,0.25,7.63,0.00,67.72
plotter1,60,2022-01-08 01:36:36,-1,33.47,0.00,0.52,7.93,0.00,58.08
plotter1,60,2022-01-08 01:37:36,-1,19.65,0.00,0.22,7.08,0.00,73.05
plotter1,60,2022-01-08 01:38:36,-1,18.47,0.00,0.23,6.44,0.00,74.85
plotter1,60,2022-01-08 01:39:36,-1,19.79,0.00,0.21,7.00,0.00,72.99
plotter1,60,2022-01-08 01:40:36,-1,23.41,0.00,0.26,7.33,0.00,69.00
plotter1,60,2022-01-08 01:41:36,-1,21.28,0.00,0.22,6.76,0.00,71.74
plotter1,60,2022-01-08 01:42:36,-1,15.83,0.00,0.27,7.16,0.00,76.74
plotter1,60,2022-01-08 01:43:36,-1,18.70,0.00,0.34,6.87,0.00,74.09
plotter1,60,2022-01-08 01:44:36,-1,15.18,0.00,0.21,6.88,0.00,77.73
plotter1,60,2022-01-08 01:45:36,-1,19.57,0.00,0.25,7.42,0.00,72.76
plotter1,60,2022-01-08 01:46:36,-1,25.19,0.00,0.22,6.72,0.00,67.87
plotter1,60,2022-01-08 01:47:36,-1,18.79,0.00,0.21,7.06,0.00,73.93
plotter1,60,2022-01-08 01:48:36,-1,16.44,0.00,0.20,6.28,0.00,77.08
plotter1,60,2022-01-08 01:49:36,-1,24.80,0.00,0.22,6.62,0.00,68.36
plotter1,60,2022-01-08 01:50:36,-1,29.51,0.00,0.27,7.02,0.00,63.20
plotter1,60,2022-01-08 01:51:36,-1,30.51,0.00,0.24,6.65,0.00,62.60
plotter1,60,2022-01-08 01:52:36,-1,16.15,0.00,0.20,7.31,0.00,76.33
plotter1,60,2022-01-08 01:53:36,-1,25.67,0.00,0.25,8.39,0.00,65.69
plotter1,60,2022-01-08 01:54:36,-1,25.53,0.00,0.23,7.16,0.00,67.08
plotter1,60,2022-01-08 01:55:36,-1,35.64,0.00,0.30,8.38,0.00,55.68
plotter1,60,2022-01-08 01:56:36,-1,34.83,0.00,0.25,6.47,0.00,58.45
plotter1,60,2022-01-08 01:57:36,-1,32.71,0.00,0.25,6.32,0.00,60.73
plotter1,60,2022-01-08 01:58:36,-1,34.10,0.00,0.25,7.58,0.00,58.08
plotter1,60,2022-01-08 01:59:36,-1,32.44,0.00,0.23,5.83,0.00,61.49
plotter1,60,2022-01-08 02:00:36,-1,34.43,0.00,0.28,7.02,0.00,58.27
