# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-08 22:35:57,236.28,223.02,13.12,0.15,19093.27,479.73,22.13
plotter1,60,2022-01-08 22:36:57,205.20,199.18,6.02,0.00,16655.40,96.27,0.00
plotter1,60,2022-01-08 22:37:57,224.68,214.58,10.05,0.05,18735.62,3681.60,4.40
plotter1,60,2022-01-08 22:38:57,202.85,197.15,5.70,0.00,18317.20,94.93,0.00
plotter1,60,2022-01-08 22:39:57,213.47,209.30,4.17,0.00,19106.27,77.60,0.00
plotter1,60,2022-01-08 22:40:57,209.60,203.42,6.18,0.00,17105.13,266.40,0.00
plotter1,60,2022-01-08 22:41:57,194.58,190.35,4.23,0.00,16981.07,78.53,0.00
plotter1,60,2022-01-08 22:42:57,176.92,172.82,4.10,0.00,15285.20,74.13,0.00
plotter1,60,2022-01-08 22:43:57,191.03,185.98,5.05,0.00,16114.53,82.80,0.00
plotter1,60,2022-01-08 22:44:57,194.13,189.20,4.93,0.00,16712.67,90.67,0.00
plotter1,60,2022-01-08 22:45:57,195.08,188.03,7.05,0.00,16156.47,278.67,0.00
plotter1,60,2022-01-08 22:46:57,181.75,176.25,5.50,0.00,15753.73,94.67,0.00
plotter1,60,2022-01-08 22:47:57,158.13,152.67,5.47,0.00,13865.47,90.00,0.00
plotter1,60,2022-01-08 22:48:57,176.92,172.08,4.83,0.00,15796.93,80.00,0.00
plotter1,60,2022-01-08 22:49:57,177.32,171.47,5.85,0.00,15706.67,94.00,0.00
plotter1,60,2022-01-08 22:50:57,200.42,192.68,7.73,0.00,16123.53,278.27,0.00
plotter1,60,2022-01-08 22:51:57,174.90,169.85,5.05,0.00,15160.53,92.00,0.00
plotter1,60,2022-01-08 22:52:57,176.98,174.50,2.48,0.00,15023.73,43.33,0.00
plotter1,60,2022-01-08 22:53:57,166.45,163.82,2.63,0.00,14952.67,46.00,0.00
plotter1,60,2022-01-08 22:54:57,155.57,152.58,2.98,0.00,13477.87,57.07,0.00
plotter1,60,2022-01-08 22:55:57,167.90,162.23,5.67,0.00,13339.00,253.33,0.00
plotter1,60,2022-01-08 22:56:57,180.32,177.05,3.27,0.00,15877.47,61.47,0.00
plotter1,60,2022-01-08 22:57:57,180.45,177.37,3.08,0.00,15825.33,56.93,0.00
plotter1,60,2022-01-08 22:58:57,173.27,169.95,3.32,0.00,14976.93,60.13,0.00
plotter1,60,2022-01-08 22:59:57,178.78,175.03,3.75,0.00,15838.13,67.60,0.00
plotter1,60,2022-01-08 23:00:57,204.57,198.97,5.60,0.00,17252.73,257.60,0.00
plotter1,60,2022-01-08 23:01:57,172.95,168.87,4.08,0.00,15299.87,79.47,0.00
plotter1,60,2022-01-08 23:02:57,147.52,143.82,3.70,0.00,13141.87,76.00,0.00
plotter1,60,2022-01-08 23:03:57,203.03,198.92,4.12,0.00,17455.73,77.20,0.00
plotter1,60,2022-01-08 23:04:57,145.73,138.43,7.30,0.00,12862.53,402.40,0.00
plotter1,60,2022-01-08 23:05:57,195.87,189.22,6.65,0.00,15904.47,271.60,0.00
plotter1,60,2022-01-08 23:06:57,168.15,163.32,4.83,0.00,15111.87,90.13,0.00
plotter1,60,2022-01-08 23:07:57,179.80,175.05,4.75,0.00,15176.53,82.00,0.00
plotter1,60,2022-01-08 23:08:57,148.83,144.75,4.08,0.00,12708.40,76.67,0.00
plotter1,60,2022-01-08 23:09:57,170.23,165.08,5.15,0.00,14547.60,88.13,0.00
plotter1,60,2022-01-08 23:10:57,173.02,165.17,7.85,0.00,13784.47,288.93,0.00
plotter1,60,2022-01-08 23:11:57,191.05,185.62,5.43,0.00,15920.00,100.80,0.00
plotter1,60,2022-01-08 23:12:57,152.88,150.87,2.02,0.00,13690.27,36.67,0.00
plotter1,60,2022-01-08 23:13:57,166.18,163.55,2.63,0.00,14272.40,46.00,0.00
plotter1,60,2022-01-08 23:14:57,172.95,170.08,2.87,0.00,14972.40,54.93,0.00
plotter1,60,2022-01-08 23:15:57,179.58,174.38,5.20,0.00,14533.53,250.80,0.00
plotter1,60,2022-01-08 23:16:57,168.07,164.67,3.40,0.00,15218.00,61.07,0.00
plotter1,60,2022-01-08 23:17:57,163.82,160.57,3.25,0.00,14206.53,56.67,0.00
plotter1,60,2022-01-08 23:18:57,193.87,190.63,3.23,0.00,16796.27,56.27,0.00
