# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-08 22:35:57,1,856,4.51,3.24,2.87,0
plotter1,60,2022-01-08 22:36:57,2,858,4.62,3.40,2.94,0
plotter1,60,2022-01-08 22:37:57,1,867,4.82,3.75,3.09,8
plotter1,60,2022-01-08 22:38:57,0,868,5.78,4.26,3.31,8
plotter1,60,2022-01-08 22:39:57,8,867,3.07,3.81,3.22,0
plotter1,60,2022-01-08 22:40:57,2,865,5.61,4.35,3.44,0
plotter1,60,2022-01-08 22:41:57,0,865,7.47,5.12,3.76,0
plotter1,60,2022-01-08 22:42:57,8,864,7.45,5.58,4.01,0
plotter1,60,2022-01-08 22:43:57,0,867,8.30,6.04,4.26,0
plotter1,60,2022-01-08 22:44:57,1,866,5.78,5.80,4.29,8
plotter1,60,2022-01-08 22:45:57,0,866,5.34,5.79,4.39,0
plotter1,60,2022-01-08 22:46:57,2,866,6.29,6.06,4.57,0
plotter1,60,2022-01-08 22:47:57,0,866,8.57,6.60,4.84,0
plotter1,60,2022-01-08 22:48:57,8,866,8.97,6.99,5.08,1
plotter1,60,2022-01-08 22:49:57,1,866,8.07,7.10,5.24,0
plotter1,60,2022-01-08 22:50:57,8,866,5.23,6.47,5.14,0
plotter1,60,2022-01-08 22:51:57,8,866,5.31,6.22,5.13,0
plotter1,60,2022-01-08 22:52:57,1,866,5.09,6.04,5.14,3
plotter1,60,2022-01-08 22:53:57,0,865,5.24,5.85,5.13,0
plotter1,60,2022-01-08 22:54:57,0,865,4.07,5.38,5.01,0
plotter1,60,2022-01-08 22:55:57,2,865,6.07,5.66,5.13,8
plotter1,60,2022-01-08 22:56:57,8,865,4.99,5.45,5.09,3
plotter1,60,2022-01-08 22:57:57,1,865,4.61,5.33,5.07,0
plotter1,60,2022-01-08 22:58:57,1,865,3.79,5.01,4.98,0
plotter1,60,2022-01-08 22:59:57,1,866,4.05,4.79,4.91,5
plotter1,60,2022-01-08 23:00:57,0,865,4.69,4.87,4.93,0
plotter1,60,2022-01-08 23:01:57,6,869,6.18,5.21,5.04,0
plotter1,60,2022-01-08 23:02:57,0,865,6.80,5.56,5.17,0
plotter1,60,2022-01-08 23:03:57,8,865,5.41,5.33,5.11,0
plotter1,60,2022-01-08 23:04:57,9,866,4.27,5.03,5.02,0
plotter1,60,2022-01-08 23:05:57,8,865,3.95,4.88,4.97,0
plotter1,60,2022-01-08 23:06:57,1,865,3.84,4.71,4.91,0
plotter1,60,2022-01-08 23:07:57,1,865,4.81,4.80,4.93,8
plotter1,60,2022-01-08 23:08:57,0,865,3.67,4.41,4.78,8
plotter1,60,2022-01-08 23:09:57,6,866,5.79,4.87,4.91,0
plotter1,60,2022-01-08 23:10:57,1,865,6.49,5.34,5.08,6
plotter1,60,2022-01-08 23:11:57,1,864,7.30,5.79,5.25,8
plotter1,60,2022-01-08 23:12:57,0,864,4.52,5.31,5.12,0
plotter1,60,2022-01-08 23:13:57,8,865,6.83,5.80,5.30,8
plotter1,60,2022-01-08 23:14:57,0,866,5.32,5.47,5.22,0
plotter1,60,2022-01-08 23:15:57,0,865,5.12,5.35,5.19,8
plotter1,60,2022-01-08 23:16:57,0,865,4.75,5.26,5.17,0
plotter1,60,2022-01-08 23:17:57,8,865,3.29,4.79,5.01,0
plotter1,60,2022-01-08 23:18:57,0,865,5.82,5.28,5.17,0
plotter1,60,2022-01-08 23:19:57,8,866,4.53,5.06,5.10,0
plotter1,60,2022-01-08 23:20:57,2,865,4.96,5.18,5.14,8
plotter1,60,2022-01-08 23:21:57,1,865,6.29,5.46,5.24,0
plotter1,60,2022-01-08 23:22:57,1,865,5.57,5.42,5.24,8
plotter1,60,2022-01-08 23:23:57,0,865,5.59,5.43,5.26,0
plotter1,60,2022-01-08 23:24:57,2,864,6.42,5.79,5.40,0
plotter1,60,2022-01-08 23:25:57,0,866,7.22,6.13,5.54,0
plotter1,60,2022-01-08 23:26:57,0,865,7.12,6.29,5.63,0
plotter1,60,2022-01-08 23:27:57,0,865,5.02,5.74,5.48,0
plotter1,60,2022-01-08 23:28:57,9,865,3.35,5.22,5.32,8
plotter1,60,2022-01-08 23:29:57,0,865,3.37,4.88,5.19,0
plotter1,60,2022-01-08 23:30:57,6,866,3.46,4.68,5.11,0
plotter1,60,2022-01-08 23:31:57,1,865,4.80,4.83,5.13,0
plotter1,60,2022-01-08 23:32:57,0,865,5.63,5.08,5.20,0
plotter1,60,2022-01-08 23:33:57,1,865,4.22,4.73,5.07,6
plotter1,60,2022-01-08 23:34:57,0,865,4.61,4.78,5.07,0
plotter1,60,2022-01-08 23:35:57,8,866,6.67,5.29,5.22,0
plotter1,60,2022-01-08 23:36:57,0,864,6.23,5.47,5.29,0
plotter1,60,2022-01-08 23:37:57,0,865,6.39,5.66,5.37,0
plotter1,60,2022-01-08 23:38:57,5,864,5.61,5.58,5.36,0
plotter1,60,2022-01-08 23:39:57,1,865,4.00,5.24,5.26,0
plotter1,60,2022-01-08 23:40:57,5,866,4.20,5.08,5.20,0
plotter1,60,2022-01-08 23:41:57,0,865,3.60,4.78,5.09,2
plotter1,60,2022-01-08 23:42:57,8,864,4.35,4.84,5.10,3
plotter1,60,2022-01-08 23:43:57,9,865,4.17,4.72,5.04,8
plotter1,60,2022-01-08 23:44:57,2,865,4.53,4.69,5.01,0
plotter1,60,2022-01-08 23:45:57,3,866,4.57,4.66,4.98,0
plotter1,60,2022-01-08 23:46:57,8,866,3.32,4.28,4.83,0
plotter1,60,2022-01-08 23:47:57,1,866,4.97,4.50,4.86,0
plotter1,60,2022-01-08 23:48:57,0,866,5.09,4.64,4.89,8
plotter1,60,2022-01-08 23:49:57,8,866,5.05,4.76,4.92,0
plotter1,60,2022-01-08 23:50:57,0,867,5.39,5.05,5.01,0
plotter1,60,2022-01-08 23:51:57,0,865,6.75,5.58,5.20,0
plotter1,60,2022-01-08 23:52:57,1,865,6.88,5.75,5.28,0
plotter1,60,2022-01-08 23:53:57,0,865,5.07,5.41,5.19,0
plotter1,60,2022-01-08 23:54:57,4,865,5.86,5.59,5.27,8
plotter1,60,2022-01-08 23:55:57,2,865,7.50,6.20,5.51,0
plotter1,60,2022-01-08 23:56:57,0,866,6.14,6.16,5.54,0
plotter1,60,2022-01-08 23:57:57,9,865,5.96,6.11,5.56,0
plotter1,60,2022-01-08 23:58:57,1,865,6.31,6.10,5.59,0
plotter1,60,2022-01-08 23:59:57,0,865,5.89,6.01,5.59,0
plotter1,60,2022-01-09 00:00:57,0,865,6.74,6.23,5.69,0
plotter1,60,2022-01-09 00:01:57,1,866,5.03,5.85,5.59,6
plotter1,60,2022-01-09 00:02:57,1,864,5.61,5.85,5.61,0
plotter1,60,2022-01-09 00:03:57,3,865,6.37,6.03,5.69,1
plotter1,60,2022-01-09 00:04:57,1,865,6.74,6.14,5.74,0
plotter1,60,2022-01-09 00:05:57,0,865,5.08,5.76,5.63,0
plotter1,60,2022-01-09 00:06:57,0,866,4.80,5.48,5.54,0
plotter1,60,2022-01-09 00:07:57,1,865,4.38,5.21,5.44,0
plotter1,60,2022-01-09 00:08:57,9,865,6.12,5.51,5.53,0
plotter1,60,2022-01-09 00:09:57,8,865,6.14,5.63,5.57,0
plotter1,60,2022-01-09 00:10:57,7,865,5.67,5.64,5.58,0
plotter1,60,2022-01-09 00:11:57,8,866,7.38,6.12,5.75,0
plotter1,60,2022-01-09 00:12:57,8,865,4.38,5.52,5.57,8
plotter1,60,2022-01-09 00:13:57,7,865,4.42,5.34,5.50,0
plotter1,60,2022-01-09 00:14:57,0,865,5.18,5.32,5.48,0
plotter1,60,2022-01-09 00:15:57,9,865,3.67,4.87,5.31,0
plotter1,60,2022-01-09 00:16:57,8,866,3.40,4.63,5.21,0
plotter1,60,2022-01-09 00:17:57,0,865,4.04,4.58,5.15,0
plotter1,60,2022-01-09 00:18:57,0,865,4.62,4.62,5.13,0
plotter1,60,2022-01-09 00:19:57,8,864,6.03,5.10,5.26,0
plotter1,60,2022-01-09 00:20:57,0,864,8.02,5.88,5.52,0
plotter1,60,2022-01-09 00:21:57,3,865,6.02,5.71,5.49,0
