# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-09 16:23:11,128242836,128644328,1324816,1.01,166832,808740,3969296,1.51,358708,1271532,152
plotter1,60,2022-01-09 16:24:11,127755212,128654176,1315152,1.00,169864,1303268,3972932,1.51,378960,1765448,144
plotter1,60,2022-01-09 16:25:11,127343016,128675444,1293700,0.98,173036,1733536,3942744,1.50,394520,2155572,128
plotter1,60,2022-01-09 16:26:11,126654660,128431436,1537556,1.17,180012,2170912,4267608,1.62,411796,2819788,100
plotter1,60,2022-01-09 16:27:11,125192832,127507168,2451040,1.86,185768,2712372,6267476,2.38,436604,4261560,196
plotter1,60,2022-01-09 16:28:11,124757576,127471192,2480056,1.88,190304,3114036,6283012,2.39,452844,4681792,152
plotter1,60,2022-01-09 16:29:11,124225656,127451608,2493216,1.89,191372,3631868,6295072,2.40,469660,5192932,308
plotter1,60,2022-01-09 16:30:11,123760936,127406036,2532144,1.92,192232,4056880,6314296,2.40,483396,5621008,244
plotter1,60,2022-01-09 16:31:11,123354128,127413472,2517928,1.91,193156,4476888,6320364,2.40,496372,6039208,136
plotter1,60,2022-01-09 16:32:11,122869272,127398648,2524580,1.92,194104,4954156,6332140,2.41,511056,6512232,232
plotter1,60,2022-01-09 16:33:11,122344448,127381204,2532800,1.92,195116,5469784,6343148,2.41,527372,7020796,244
plotter1,60,2022-01-09 16:34:11,121860296,127367184,2540132,1.93,195924,5945736,6351868,2.42,541436,7486532,224
plotter1,60,2022-01-09 16:35:11,121361980,127333352,2565536,1.95,196716,6417588,6367908,2.42,555476,7951452,168
plotter1,60,2022-01-09 16:36:11,120843120,127339660,2553820,1.94,197528,6947156,6368564,2.42,571416,8465588,344
plotter1,60,2022-01-09 16:37:11,120364280,127316152,2572120,1.95,198556,7406616,6374964,2.43,612208,8897088,224
plotter1,60,2022-01-09 16:38:11,119873148,127327256,2555260,1.94,199312,7914196,6382388,2.43,632568,9389944,252
plotter1,60,2022-01-09 16:39:11,119334752,127307800,2571028,1.95,200020,8436020,6387268,2.43,649800,9899768,84
plotter1,60,2022-01-09 16:40:11,118905704,127293640,2580900,1.96,200744,8854776,6397932,2.43,664992,10309224,224
plotter1,60,2022-01-09 16:41:11,118420520,127291304,2576196,1.96,201460,9344120,6402624,2.44,682756,10783100,232
plotter1,60,2022-01-09 16:42:11,118011796,127289980,2572220,1.95,202472,9755644,6408768,2.44,699020,11181296,36
plotter1,60,2022-01-09 16:43:11,117507824,127273808,2581464,1.96,203124,10249508,6418048,2.44,716436,11668068,156
plotter1,60,2022-01-09 16:44:11,116942060,127256836,2592788,1.97,203824,10803300,6425176,2.44,734884,12210272,128
plotter1,60,2022-01-09 16:45:11,116516056,127219296,2623548,1.99,204240,11198396,6440160,2.45,750528,12598364,172
plotter1,60,2022-01-09 16:46:11,116072188,127211016,2625400,1.99,204756,11637052,6443032,2.45,770284,13027252,216
