# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 23:50:19,-1,1.90,0.00,0.49,7.29,0.00,90.31
plotter1,60,2022-01-02 23:51:19,-1,13.13,0.00,0.30,8.45,0.00,78.13
plotter1,60,2022-01-02 23:52:19,-1,19.37,0.00,0.41,6.74,0.00,73.49
plotter1,60,2022-01-02 23:53:19,-1,9.61,0.00,0.49,6.53,0.00,83.38
plotter1,60,2022-01-02 23:54:19,-1,11.09,0.00,0.47,8.22,0.00,80.22
plotter1,60,2022-01-02 23:55:19,-1,15.35,0.00,0.48,10.49,0.00,73.68
# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-02 23:50:19,390.75,353.72,36.47,0.57,74177.03,46666.80,688830.13
plotter1,60,2022-01-02 23:51:19,244.83,206.62,38.22,0.00,22496.13,4435.07,0.00
plotter1,60,2022-01-02 23:52:19,339.98,212.93,127.00,0.05,22675.45,16480.93,4.40
plotter1,60,2022-01-02 23:53:19,423.83,169.92,253.87,0.05,18043.07,33422.40,4.40
plotter1,60,2022-01-02 23:54:19,473.50,210.08,263.42,0.00,21611.07,35740.67,0.00
plotter1,60,2022-01-02 23:55:19,532.70,229.47,303.23,0.00,22771.95,42181.33,0.00
# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-02 23:50:19,127946312,129010304,1132128,0.86,164592,956464,4026168,1.53,337020,1475456,140
plotter1,60,2022-01-02 23:51:19,126852976,128595480,1546124,1.17,165216,1634352,7444404,2.83,412544,2509040,116
plotter1,60,2022-01-02 23:52:19,125865208,128301200,1839684,1.40,168156,2325396,7522464,2.86,531300,3341248,112320
plotter1,60,2022-01-02 23:53:19,124337460,127323708,2817704,2.14,168952,2874404,7546288,2.87,551860,4855252,109824
plotter1,60,2022-01-02 23:54:19,123269592,126927384,3214020,2.44,172308,3542672,7584908,2.89,585704,5901164,114096
plotter1,60,2022-01-02 23:55:19,122483160,126843868,3297720,2.50,173676,4244200,7613168,2.90,620976,6605480,50608
# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-02 23:50:19,130696184,441344,0.34,11412,2.59
plotter1,60,2022-01-02 23:51:19,130696184,441344,0.34,11412,2.59
plotter1,60,2022-01-02 23:52:19,130696184,441344,0.34,11412,2.59
plotter1,60,2022-01-02 23:53:19,130696184,441344,0.34,11412,2.59
plotter1,60,2022-01-02 23:54:19,130696184,441344,0.34,11412,2.59
plotter1,60,2022-01-02 23:55:19,130696184,441344,0.34,11412,2.59
# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-02 23:50:19,0,846,8.51,7.30,5.48,0
plotter1,60,2022-01-02 23:51:19,2,857,6.20,6.84,5.43,3
plotter1,60,2022-01-02 23:52:19,1,854,6.22,6.75,5.50,0
plotter1,60,2022-01-02 23:53:19,2,852,5.03,6.27,5.41,0
plotter1,60,2022-01-02 23:54:19,2,852,6.80,6.44,5.51,2
plotter1,60,2022-01-02 23:55:19,1,851,4.84,5.98,5.41,0
# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-02 23:50:19,nvme1n1,57.13,9110.40,7702.93,114805.07,2303.71,0.13,2.23,3.35
plotter1,60,2022-01-02 23:50:19,nvme0n1,57.68,9074.13,7713.20,114805.80,2281.30,0.14,2.39,3.39
plotter1,60,2022-01-02 23:50:19,nvme2n1,56.57,9070.93,7702.60,114804.20,2326.06,0.13,2.21,3.31
plotter1,60,2022-01-02 23:50:19,sda,6.32,314.33,0.00,0.00,49.76,0.03,5.35,1.65
plotter1,60,2022-01-02 23:50:19,sdb,6.57,287.20,0.00,0.00,43.74,0.05,7.53,1.52
plotter1,60,2022-01-02 23:50:19,sdc,11.55,546.20,0.00,0.00,47.29,0.10,8.61,2.82
plotter1,60,2022-01-02 23:50:19,sdd,9.40,448.80,0.00,0.00,47.74,0.05,4.91,2.24
plotter1,60,2022-01-02 23:50:19,sde,46.67,1485.80,214.00,0.00,36.42,0.03,0.56,1.94
plotter1,60,2022-01-02 23:50:19,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:50:19,sde2,46.33,1485.67,214.00,0.00,36.68,0.03,0.56,1.92
plotter1,60,2022-01-02 23:50:19,sdf,5.13,234.93,0.00,0.00,45.77,0.04,7.66,1.34
plotter1,60,2022-01-02 23:50:19,sdg,11.45,518.73,0.00,0.00,45.30,0.07,6.53,2.70
plotter1,60,2022-01-02 23:50:19,sdh,6.68,353.47,0.40,0.00,52.95,0.03,5.17,1.86
plotter1,60,2022-01-02 23:50:19,sdi,5.62,298.98,0.00,0.00,53.23,0.03,4.71,1.54
plotter1,60,2022-01-02 23:50:19,dm-0,794.15,27255.47,23119.93,344415.07,497.12,6.68,8.42,3.91
plotter1,60,2022-01-02 23:50:19,sdj,8.40,486.25,0.00,0.00,57.89,0.09,10.44,3.67
plotter1,60,2022-01-02 23:50:19,sdk,7.40,335.85,0.00,0.00,45.39,0.07,8.82,2.58
plotter1,60,2022-01-02 23:50:19,sdl,4.72,227.85,0.00,0.00,48.31,0.03,5.65,1.48
plotter1,60,2022-01-02 23:50:19,sdm,2.22,95.98,0.00,0.00,43.30,0.02,9.60,1.50
plotter1,60,2022-01-02 23:50:19,sdo,0.42,3.92,0.00,0.00,9.40,0.01,19.40,0.77
plotter1,60,2022-01-02 23:50:19,sdp,6.02,328.32,0.00,0.00,54.57,0.03,4.70,1.60
plotter1,60,2022-01-02 23:50:19,sdq,1.10,43.12,0.00,0.00,39.20,0.01,13.58,1.07
plotter1,60,2022-01-02 23:50:19,sdr,2.78,118.12,0.00,0.00,42.44,0.03,9.41,1.73
plotter1,60,2022-01-02 23:50:19,sds,4.53,216.85,0.00,0.00,47.83,0.04,8.74,2.64
plotter1,60,2022-01-02 23:50:19,sdt,2.07,83.98,0.27,0.00,40.77,0.03,13.77,1.86
plotter1,60,2022-01-02 23:50:19,sdu,9.20,494.25,0.00,0.00,53.72,0.04,4.39,2.31
plotter1,60,2022-01-02 23:50:19,sdv,2.32,107.85,0.00,0.00,46.55,0.02,10.18,1.55
plotter1,60,2022-01-02 23:50:19,sdx,1.62,79.72,0.00,0.00,49.31,0.02,9.72,1.21
plotter1,60,2022-01-02 23:50:19,sdy,1.58,56.12,0.00,0.00,35.44,0.02,10.51,1.19
plotter1,60,2022-01-02 23:50:19,sdz,2.72,122.25,0.00,0.00,45.00,0.02,9.01,1.72
