# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-03 00:09:57,-1,3.27,0.00,0.54,8.44,0.00,87.76
plotter1,60,2022-01-03 00:10:57,-1,4.84,0.00,0.32,8.43,0.00,86.42
plotter1,60,2022-01-03 00:11:57,-1,1.13,0.00,0.29,8.44,0.00,90.14
plotter1,60,2022-01-03 00:12:57,-1,10.51,0.00,0.29,8.60,0.00,80.59
plotter1,60,2022-01-03 00:13:57,-1,19.55,0.00,0.35,7.61,0.00,72.48
plotter1,60,2022-01-03 00:14:57,-1,9.19,0.00,0.41,8.57,0.00,81.82
plotter1,60,2022-01-03 00:15:57,-1,10.50,0.00,0.44,8.35,0.00,80.72
plotter1,60,2022-01-03 00:16:57,-1,15.02,0.00,0.39,7.79,0.00,76.80
# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-03 00:09:57,1162.42,343.35,818.88,0.18,74843.45,96983.87,50552.27
plotter1,60,2022-01-03 00:10:57,215.08,200.90,14.18,0.00,19323.57,409.47,0.00
plotter1,60,2022-01-03 00:11:57,217.52,205.32,12.20,0.00,20666.53,174.80,0.00
plotter1,60,2022-01-03 00:12:57,345.23,219.70,125.48,0.05,20740.47,4995.20,4.40
plotter1,60,2022-01-03 00:13:57,684.88,278.95,405.88,0.05,21845.17,12676.67,4.40
plotter1,60,2022-01-03 00:14:57,974.55,272.98,701.57,0.00,21398.90,23736.00,0.00
plotter1,60,2022-01-03 00:15:57,931.58,193.67,737.92,0.00,19279.70,24055.20,0.00
plotter1,60,2022-01-03 00:16:57,912.58,176.62,735.97,0.00,18629.33,22131.73,0.00
# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-03 00:09:57,127587568,128654804,1487344,1.13,165156,960056,4574052,1.74,359368,1813060,256
plotter1,60,2022-01-03 00:10:57,127250692,128898388,1243616,0.94,167168,1538476,4165340,1.58,392164,2137888,0
plotter1,60,2022-01-03 00:11:57,126512548,128780320,1361704,1.03,170376,2155360,4248240,1.62,411156,2836228,124
plotter1,60,2022-01-03 00:12:57,125728584,128639892,1501364,1.14,177300,2791976,8093296,3.08,455960,3581484,240
plotter1,60,2022-01-03 00:13:57,124552760,128141900,1998604,1.52,183164,3463972,8111396,3.09,570056,4608728,232
plotter1,60,2022-01-03 00:14:57,123795200,128050868,2089624,1.59,186124,4127564,8139816,3.10,671268,5275776,176
plotter1,60,2022-01-03 00:15:57,123189436,128038580,2101560,1.60,188464,4719180,8147520,3.10,709552,5846964,64
plotter1,60,2022-01-03 00:16:57,122581400,128002952,2137604,1.62,188904,5290752,8148420,3.10,735548,6399924,40
# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-03 00:09:57,130696184,441344,0.34,11412,2.59
plotter1,60,2022-01-03 00:10:57,130696184,441344,0.34,11408,2.58
plotter1,60,2022-01-03 00:11:57,130696184,441344,0.34,11408,2.58
plotter1,60,2022-01-03 00:12:57,130696184,441344,0.34,11408,2.58
plotter1,60,2022-01-03 00:13:57,130696184,441344,0.34,11408,2.58
plotter1,60,2022-01-03 00:14:57,130696184,441344,0.34,11408,2.58
plotter1,60,2022-01-03 00:15:57,130696184,441344,0.34,11408,2.58
plotter1,60,2022-01-03 00:16:57,130696184,441344,0.34,11408,2.58
# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-03 00:09:57,1,856,3.33,4.27,4.76,0
plotter1,60,2022-01-03 00:10:57,0,851,4.23,4.41,4.79,0
plotter1,60,2022-01-03 00:11:57,1,851,4.25,4.41,4.77,1
plotter1,60,2022-01-03 00:12:57,1,859,3.78,4.28,4.70,0
plotter1,60,2022-01-03 00:13:57,1,859,5.64,4.69,4.81,0
plotter1,60,2022-01-03 00:14:57,2,854,4.98,4.78,4.84,0
plotter1,60,2022-01-03 00:15:57,2,853,3.75,4.49,4.73,6
plotter1,60,2022-01-03 00:16:57,8,854,5.08,4.77,4.82,6
# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-03 00:09:57,nvme1n1,312.62,8862.13,16123.93,8424.67,106.87,0.16,0.50,2.28
plotter1,60,2022-01-03 00:09:57,nvme0n1,314.50,8865.07,16136.00,8426.73,106.29,0.11,0.35,2.29
plotter1,60,2022-01-03 00:09:57,nvme2n1,310.52,8855.87,16125.80,8424.73,107.58,0.16,0.51,2.27
plotter1,60,2022-01-03 00:09:57,sda,6.45,297.93,0.00,0.00,46.19,0.04,5.99,1.56
plotter1,60,2022-01-03 00:09:57,sdb,9.20,470.47,0.27,0.00,51.17,0.09,9.03,3.02
plotter1,60,2022-01-03 00:09:57,sdc,10.33,521.20,0.00,0.00,50.44,0.08,7.83,2.70
plotter1,60,2022-01-03 00:09:57,sdd,8.93,428.93,0.27,0.00,48.04,0.05,5.25,2.19
plotter1,60,2022-01-03 00:09:57,sde,43.10,1493.67,104.00,0.00,37.07,0.03,0.67,1.62
plotter1,60,2022-01-03 00:09:57,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 00:09:57,sde2,43.10,1493.67,104.00,0.00,37.07,0.03,0.67,1.62
plotter1,60,2022-01-03 00:09:57,sdf,15.58,765.87,0.00,0.00,49.15,0.15,9.59,4.47
plotter1,60,2022-01-03 00:09:57,sdg,5.42,242.60,0.00,0.00,44.79,0.03,5.37,1.24
plotter1,60,2022-01-03 00:09:57,sdh,10.08,562.87,0.60,0.00,55.88,0.08,7.72,3.94
plotter1,60,2022-01-03 00:09:57,sdi,5.60,293.00,0.27,0.00,52.37,0.03,5.02,1.55
plotter1,60,2022-01-03 00:09:57,dm-0,1284.20,26583.07,48387.40,25276.13,78.06,0.55,0.43,2.75
plotter1,60,2022-01-03 00:09:57,sdj,2.85,142.33,0.00,0.00,49.94,0.02,5.69,0.88
plotter1,60,2022-01-03 00:09:57,sdk,8.17,381.60,0.00,0.00,46.73,0.04,5.24,2.34
plotter1,60,2022-01-03 00:09:57,sdl,9.00,522.60,0.00,0.00,58.07,0.09,10.01,3.52
plotter1,60,2022-01-03 00:09:57,sdm,3.07,136.06,0.00,0.00,44.37,0.02,7.65,1.32
plotter1,60,2022-01-03 00:09:57,sdo,3.78,170.53,0.00,0.00,45.07,0.03,6.76,1.49
plotter1,60,2022-01-03 00:09:57,sdp,10.70,592.60,0.53,0.00,55.43,0.07,6.60,3.19
plotter1,60,2022-01-03 00:09:57,sdq,2.40,117.87,0.00,0.00,49.11,0.02,7.96,1.03
plotter1,60,2022-01-03 00:09:57,sdr,1.78,82.60,0.00,0.00,46.32,0.01,7.65,0.80
plotter1,60,2022-01-03 00:09:57,sds,2.07,95.73,0.00,0.00,46.32,0.02,7.44,0.90
plotter1,60,2022-01-03 00:09:57,sdt,4.35,200.93,0.00,0.00,46.19,0.04,9.46,1.76
plotter1,60,2022-01-03 00:09:57,sdu,2.47,116.87,0.00,0.00,47.38,0.01,4.39,0.66
plotter1,60,2022-01-03 00:09:57,sdv,0.27,12.53,0.00,0.00,47.00,0.00,7.75,0.13
plotter1,60,2022-01-03 00:09:57,sdx,2.40,128.87,0.00,0.00,53.69,0.02,8.42,1.00
plotter1,60,2022-01-03 00:09:57,sdy,9.10,469.93,0.00,0.00,51.64,0.31,33.58,5.18
plotter1,60,2022-01-03 00:09:57,sdz,0.40,22.20,0.00,0.00,55.50,0.00,9.96,0.23
plotter1,60,2022-01-03 00:09:57,sdaa,1.98,108.53,0.00,0.00,54.72,0.02,11.98,0.94
plotter1,60,2022-01-03 00:09:57,sdab,1.92,88.33,0.00,0.00,46.09,0.02,9.62,1.07
plotter1,60,2022-01-03 00:09:57,sdn,0.13,1.87,0.00,0.00,14.00,0.00,14.62,0.15
plotter1,60,2022-01-03 00:09:57,sdac,2.52,145.73,0.00,0.00,57.91,0.02,7.48,0.93
plotter1,60,2022-01-03 00:09:57,sdad,3.62,210.67,0.00,0.00,58.25,0.02,6.61,1.34
plotter1,60,2022-01-03 00:09:57,sdae,2.95,163.40,0.00,0.00,55.39,0.03,10.51,1.41
plotter1,60,2022-01-03 00:09:57,sdaf,1.43,69.27,0.00,0.00,48.33,0.02,10.99,0.88
plotter1,60,2022-01-03 00:09:57,sdag,2.03,98.67,0.00,0.00,48.52,0.02,8.74,0.96
