# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2022-01-03 00:18:48;-1;2.27;0.00;0.42;6.95;0.00;90.37
plotter1;60;2022-01-03 00:19:48;-1;16.16;0.00;0.35;9.02;0.00;74.46
plotter1;60;2022-01-03 00:20:48;-1;20.05;0.00;0.53;8.38;0.00;71.05
plotter1;60;2022-01-03 00:21:48;-1;9.53;0.00;0.54;6.26;0.00;83.68
plotter1;60;2022-01-03 00:22:48;-1;11.61;0.00;0.62;8.18;0.00;79.60
plotter1;60;2022-01-03 00:23:48;-1;14.01;0.00;0.50;8.04;0.00;77.45
# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
plotter1;60;2022-01-03 00:18:48;384.80;354.28;30.22;0.30;75583.73;46414.13;54065.60
plotter1;60;2022-01-03 00:19:48;574.68;322.53;252.10;0.05;39327.87;22905.47;4.40
plotter1;60;2022-01-03 00:20:48;949.02;220.02;728.95;0.05;22722.10;80495.87;4.40
plotter1;60;2022-01-03 00:21:48;1087.50;160.57;926.93;0.00;17087.47;114814.93;0.00
plotter1;60;2022-01-03 00:22:48;1235.68;200.82;1034.87;0.00;20259.27;126780.00;0.00
plotter1;60;2022-01-03 00:23:48;1309.43;193.38;1116.05;0.00;20178.53;134204.13;0.00
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
plotter1;60;2022-01-03 00:18:48;127543020;128664424;1477448;1.12;164444;1015252;4570676;1.74;333348;1901924;188
plotter1;60;2022-01-03 00:19:48;126178424;128550156;1591276;1.21;167080;2262872;7428080;2.83;473016;3103124;212
plotter1;60;2022-01-03 00:20:48;125129380;128220668;1919688;1.46;168352;2981196;7585860;2.89;640036;3979120;452
plotter1;60;2022-01-03 00:21:48;123979376;127604396;2535292;1.93;170232;3513936;7632144;2.90;669216;5086076;272
plotter1;60;2022-01-03 00:22:48;122654192;126913724;3226748;2.45;172228;4145580;7609964;2.90;702836;6374748;292
plotter1;60;2022-01-03 00:23:48;122036048;126918284;3221980;2.45;174276;4766244;7566752;2.88;736452;6932468;244
# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
plotter1;60;2022-01-03 00:18:48;130696184;441344;0.34;11408;2.58
plotter1;60;2022-01-03 00:19:48;130696184;441344;0.34;11408;2.58
plotter1;60;2022-01-03 00:20:48;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:21:48;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:22:48;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:23:48;130696184;441344;0.34;11404;2.58
# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
plotter1;60;2022-01-03 00:18:48;1;848;5.95;4.98;4.88;8
plotter1;60;2022-01-03 00:19:48;6;854;5.90;5.02;4.89;0
plotter1;60;2022-01-03 00:20:48;1;855;5.65;5.12;4.93;8
plotter1;60;2022-01-03 00:21:48;1;854;5.86;5.26;4.99;6
plotter1;60;2022-01-03 00:22:48;1;852;5.91;5.33;5.03;8
plotter1;60;2022-01-03 00:23:48;1;850;4.65;5.12;4.98;0
# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
plotter1;60;2022-01-03 00:18:48;nvme1n1;57.40;9112.53;7704.00;9013.33;450.00;0.03;0.51;2.51
plotter1;60;2022-01-03 00:18:48;nvme0n1;58.08;9076.27;7711.13;9011.13;444.16;0.02;0.30;2.36
plotter1;60;2022-01-03 00:18:48;nvme2n1;56.72;9070.93;7702.87;9008.33;454.58;0.02;0.35;2.42
plotter1;60;2022-01-03 00:18:48;sda;9.93;507.60;0.27;0.00;51.13;0.04;3.97;1.88
plotter1;60;2022-01-03 00:18:48;sdb;16.57;777.93;0.53;0.00;46.99;0.10;5.62;3.84
plotter1;60;2022-01-03 00:18:48;sdc;9.92;466.87;0.27;0.00;47.11;0.07;6.87;2.44
plotter1;60;2022-01-03 00:18:48;sdd;6.07;286.87;0.00;0.00;47.29;0.05;8.02;1.47
plotter1;60;2022-01-03 00:18:48;sde;35.50;1355.40;86.67;0.00;40.62;0.02;0.62;1.48
plotter1;60;2022-01-03 00:18:48;sde1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
plotter1;60;2022-01-03 00:18:48;sde2;35.50;1355.40;86.67;0.00;40.62;0.02;0.62;1.48
plotter1;60;2022-01-03 00:18:48;sdf;14.60;690.60;0.00;0.00;47.30;0.06;3.79;2.44
plotter1;60;2022-01-03 00:18:48;sdg;11.13;579.40;0.00;0.00;52.04;0.06;5.79;2.84
plotter1;60;2022-01-03 00:18:48;sdh;7.80;490.40;0.53;0.00;62.94;0.04;5.66;2.52
plotter1;60;2022-01-03 00:18:48;sdi;2.65;151.93;0.00;0.00;57.33;0.01;4.45;0.75
plotter1;60;2022-01-03 00:18:48;dm-0;790.92;27259.73;23119.07;27032.80;97.88;0.59;0.74;2.87
plotter1;60;2022-01-03 00:18:48;sdj;7.65;444.80;0.00;0.00;58.14;0.07;8.64;3.15
plotter1;60;2022-01-03 00:18:48;sdk;8.50;417.93;0.00;0.00;49.17;0.04;5.24;2.65
plotter1;60;2022-01-03 00:18:48;sdl;3.98;202.53;0.27;0.00;50.91;0.02;5.82;1.17
plotter1;60;2022-01-03 00:18:48;sdm;3.72;197.07;0.00;0.00;53.02;0.03;7.19;1.54
plotter1;60;2022-01-03 00:18:48;sdo;0.52;24.20;0.00;0.00;46.84;0.00;5.29;0.23
plotter1;60;2022-01-03 00:18:48;sdp;4.17;213.07;0.00;0.00;51.14;0.02;5.44;1.11
plotter1;60;2022-01-03 00:18:48;sdq;1.93;92.67;0.00;0.00;47.93;0.02;8.59;0.93
plotter1;60;2022-01-03 00:18:48;sdr;2.93;155.00;0.53;0.00;53.02;0.03;9.15;1.58
plotter1;60;2022-01-03 00:18:48;sds;3.00;167.47;0.00;0.00;55.82;0.05;15.56;1.66
plotter1;60;2022-01-03 00:18:48;sdt;1.08;48.20;0.00;0.00;44.49;0.02;14.00;0.70
plotter1;60;2022-01-03 00:18:48;sdu;7.12;389.20;0.00;0.00;54.69;0.04;5.52;2.21
plotter1;60;2022-01-03 00:18:48;sdv;2.17;108.27;0.00;0.00;49.97;0.02;7.75;1.05
plotter1;60;2022-01-03 00:18:48;sdx;1.53;98.00;0.00;0.00;63.91;0.01;6.16;0.54
plotter1;60;2022-01-03 00:18:48;sdy;0.53;24.27;0.00;0.00;45.50;0.00;6.38;0.29
plotter1;60;2022-01-03 00:18:48;sdz;7.32;392.60;0.00;0.00;53.66;0.33;45.75;3.89
