# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-03 00:26:59,403.90,367.28,36.45,0.17,76729.10,46488.13,48817.87
plotter1,60,2022-01-03 00:27:59,214.20,204.13,10.07,0.00,21294.35,141.07,0.00
plotter1,60,2022-01-03 00:28:59,238.40,230.78,7.62,0.00,24240.90,109.07,0.00
plotter1,60,2022-01-03 00:29:59,172.40,166.97,5.43,0.00,17277.97,84.67,0.00
plotter1,60,2022-01-03 00:30:59,192.62,182.92,9.70,0.00,18003.83,332.93,0.00
plotter1,60,2022-01-03 00:31:59,206.60,199.27,7.33,0.00,20699.93,109.73,0.00
plotter1,60,2022-01-03 00:32:59,189.23,181.23,8.00,0.00,19204.13,122.27,0.00
plotter1,60,2022-01-03 00:33:59,287.70,203.62,84.03,0.05,22281.20,11065.33,4.40
plotter1,60,2022-01-03 00:34:59,412.32,190.75,221.52,0.05,20583.07,29341.33,4.40
plotter1,60,2022-01-03 00:35:59,467.00,203.85,263.15,0.00,19915.83,34938.27,0.00
plotter1,60,2022-01-03 00:36:59,491.82,196.40,295.42,0.00,20654.00,41300.00,0.00
plotter1,60,2022-01-03 00:37:59,439.75,191.98,247.77,0.00,20143.07,34640.67,0.00
