# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-03 00:26:59,127841496,129002048,1140132,0.87,167736,1051332,4073196,1.55,330544,1606016,200
plotter1,60,2022-01-03 00:27:59,127158288,128955600,1186528,0.90,174764,1681068,4114644,1.57,356176,2260336,92
plotter1,60,2022-01-03 00:28:59,126449724,128975848,1166272,0.89,180852,2403788,4075124,1.55,392264,2929008,96
plotter1,60,2022-01-03 00:29:59,125937024,128983384,1158676,0.88,183732,2921196,4075836,1.55,417236,3426720,96
plotter1,60,2022-01-03 00:30:59,125373276,128959608,1182268,0.90,186328,3458576,4075968,1.55,441244,3942860,216
plotter1,60,2022-01-03 00:31:59,124756584,128964720,1176956,0.89,186812,4079948,4080196,1.55,460252,4548172,220
plotter1,60,2022-01-03 00:32:59,123792052,128575328,1566536,1.19,188208,4653620,4632648,1.76,500404,5460076,92
plotter1,60,2022-01-03 00:33:59,122914240,128381372,1759884,1.34,190388,5335312,7680664,2.92,566380,6234280,17476
plotter1,60,2022-01-03 00:34:59,120707000,126802084,3338932,2.54,191164,5962480,7813764,2.97,669732,8384776,109548
plotter1,60,2022-01-03 00:35:59,120060004,126768196,3372740,2.56,192088,6574652,7855008,2.99,696828,9003168,121024
plotter1,60,2022-01-03 00:36:59,119361268,126713232,3427504,2.60,192916,7217632,7875340,3.00,735868,9640016,54844
plotter1,60,2022-01-03 00:37:59,120713900,128685440,1455076,1.10,193224,7836856,4311156,1.64,769260,8252900,28792
