# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-03 00:26:59,-1,1.76,0.00,0.42,8.10,0.00,89.73
plotter1,60,2022-01-03 00:27:59,-1,1.04,0.00,0.26,8.43,0.00,90.27
plotter1,60,2022-01-03 00:28:59,-1,1.24,0.00,0.27,9.68,0.00,88.81
plotter1,60,2022-01-03 00:29:59,-1,0.43,0.00,0.23,6.27,0.00,93.07
plotter1,60,2022-01-03 00:30:59,-1,0.73,0.00,0.27,8.17,0.00,90.82
plotter1,60,2022-01-03 00:31:59,-1,0.57,0.00,0.28,7.94,0.00,91.21
plotter1,60,2022-01-03 00:32:59,-1,3.54,0.00,0.26,7.01,0.00,89.20
plotter1,60,2022-01-03 00:33:59,-1,25.22,0.00,0.33,7.85,0.00,66.61
plotter1,60,2022-01-03 00:34:59,-1,8.85,0.00,0.49,7.07,0.00,83.59
plotter1,60,2022-01-03 00:35:59,-1,9.77,0.00,0.49,8.75,0.00,81.00
plotter1,60,2022-01-03 00:36:59,-1,13.79,0.00,0.42,7.89,0.00,77.90
plotter1,60,2022-01-03 00:37:59,-1,18.09,0.00,0.41,7.80,0.00,73.71
