# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2022-01-03 00:26:59;-1;1.76;0.00;0.42;8.10;0.00;89.73
plotter1;60;2022-01-03 00:27:59;-1;1.04;0.00;0.26;8.43;0.00;90.27
plotter1;60;2022-01-03 00:28:59;-1;1.24;0.00;0.27;9.68;0.00;88.81
plotter1;60;2022-01-03 00:29:59;-1;0.43;0.00;0.23;6.27;0.00;93.07
plotter1;60;2022-01-03 00:30:59;-1;0.73;0.00;0.27;8.17;0.00;90.82
plotter1;60;2022-01-03 00:31:59;-1;0.57;0.00;0.28;7.94;0.00;91.21
plotter1;60;2022-01-03 00:32:59;-1;3.54;0.00;0.26;7.01;0.00;89.20
plotter1;60;2022-01-03 00:33:59;-1;25.22;0.00;0.33;7.85;0.00;66.61
plotter1;60;2022-01-03 00:34:59;-1;8.85;0.00;0.49;7.07;0.00;83.59
plotter1;60;2022-01-03 00:35:59;-1;9.77;0.00;0.49;8.75;0.00;81.00
plotter1;60;2022-01-03 00:36:59;-1;13.79;0.00;0.42;7.89;0.00;77.90
plotter1;60;2022-01-03 00:37:59;-1;18.09;0.00;0.41;7.80;0.00;73.71
# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
plotter1;60;2022-01-03 00:26:59;403.90;367.28;36.45;0.17;76729.10;46488.13;48817.87
plotter1;60;2022-01-03 00:27:59;214.20;204.13;10.07;0.00;21294.35;141.07;0.00
plotter1;60;2022-01-03 00:28:59;238.40;230.78;7.62;0.00;24240.90;109.07;0.00
plotter1;60;2022-01-03 00:29:59;172.40;166.97;5.43;0.00;17277.97;84.67;0.00
plotter1;60;2022-01-03 00:30:59;192.62;182.92;9.70;0.00;18003.83;332.93;0.00
plotter1;60;2022-01-03 00:31:59;206.60;199.27;7.33;0.00;20699.93;109.73;0.00
plotter1;60;2022-01-03 00:32:59;189.23;181.23;8.00;0.00;19204.13;122.27;0.00
plotter1;60;2022-01-03 00:33:59;287.70;203.62;84.03;0.05;22281.20;11065.33;4.40
plotter1;60;2022-01-03 00:34:59;412.32;190.75;221.52;0.05;20583.07;29341.33;4.40
plotter1;60;2022-01-03 00:35:59;467.00;203.85;263.15;0.00;19915.83;34938.27;0.00
plotter1;60;2022-01-03 00:36:59;491.82;196.40;295.42;0.00;20654.00;41300.00;0.00
plotter1;60;2022-01-03 00:37:59;439.75;191.98;247.77;0.00;20143.07;34640.67;0.00
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
plotter1;60;2022-01-03 00:26:59;127841496;129002048;1140132;0.87;167736;1051332;4073196;1.55;330544;1606016;200
plotter1;60;2022-01-03 00:27:59;127158288;128955600;1186528;0.90;174764;1681068;4114644;1.57;356176;2260336;92
plotter1;60;2022-01-03 00:28:59;126449724;128975848;1166272;0.89;180852;2403788;4075124;1.55;392264;2929008;96
plotter1;60;2022-01-03 00:29:59;125937024;128983384;1158676;0.88;183732;2921196;4075836;1.55;417236;3426720;96
plotter1;60;2022-01-03 00:30:59;125373276;128959608;1182268;0.90;186328;3458576;4075968;1.55;441244;3942860;216
plotter1;60;2022-01-03 00:31:59;124756584;128964720;1176956;0.89;186812;4079948;4080196;1.55;460252;4548172;220
plotter1;60;2022-01-03 00:32:59;123792052;128575328;1566536;1.19;188208;4653620;4632648;1.76;500404;5460076;92
plotter1;60;2022-01-03 00:33:59;122914240;128381372;1759884;1.34;190388;5335312;7680664;2.92;566380;6234280;17476
plotter1;60;2022-01-03 00:34:59;120707000;126802084;3338932;2.54;191164;5962480;7813764;2.97;669732;8384776;109548
plotter1;60;2022-01-03 00:35:59;120060004;126768196;3372740;2.56;192088;6574652;7855008;2.99;696828;9003168;121024
plotter1;60;2022-01-03 00:36:59;119361268;126713232;3427504;2.60;192916;7217632;7875340;3.00;735868;9640016;54844
plotter1;60;2022-01-03 00:37:59;120713900;128685440;1455076;1.10;193224;7836856;4311156;1.64;769260;8252900;28792
# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
plotter1;60;2022-01-03 00:26:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:27:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:28:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:29:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:30:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:31:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:32:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:33:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:34:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:35:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:36:59;130696184;441344;0.34;11404;2.58
plotter1;60;2022-01-03 00:37:59;130696184;441344;0.34;11404;2.58
# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
plotter1;60;2022-01-03 00:26:59;0;845;4.56;4.85;4.89;1
plotter1;60;2022-01-03 00:27:59;1;845;5.03;4.90;4.91;8
plotter1;60;2022-01-03 00:28:59;1;844;4.88;4.91;4.91;6
plotter1;60;2022-01-03 00:29:59;0;845;4.07;4.71;4.84;0
plotter1;60;2022-01-03 00:30:59;0;841;3.64;4.56;4.79;0
plotter1;60;2022-01-03 00:31:59;1;842;4.26;4.55;4.77;0
plotter1;60;2022-01-03 00:32:59;1;844;4.43;4.51;4.74;0
plotter1;60;2022-01-03 00:33:59;1;850;5.08;4.71;4.79;6
plotter1;60;2022-01-03 00:34:59;0;854;4.63;4.59;4.74;1
plotter1;60;2022-01-03 00:35:59;1;855;5.34;4.78;4.80;0
plotter1;60;2022-01-03 00:36:59;1;853;6.27;5.11;4.91;0
plotter1;60;2022-01-03 00:37:59;1;842;7.56;5.64;5.10;8
# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
plotter1;60;2022-01-03 00:26:59;nvme1n1;57.00;9112.53;7702.07;8136.53;437.74;0.03;0.45;2.59
plotter1;60;2022-01-03 00:26:59;nvme0n1;57.70;9077.33;7713.53;8137.53;432.03;0.03;0.47;2.52
plotter1;60;2022-01-03 00:26:59;nvme2n1;56.42;9073.07;7705.20;8134.87;441.59;0.03;0.50;2.63
plotter1;60;2022-01-03 00:26:59;sda;9.00;427.80;0.00;0.00;47.53;0.06;6.34;2.22
plotter1;60;2022-01-03 00:26:59;sdb;10.82;543.67;0.13;0.00;50.27;0.05;4.31;2.14
plotter1;60;2022-01-03 00:26:59;sdc;13.65;659.40;0.00;0.00;48.31;0.10;7.66;3.12
plotter1;60;2022-01-03 00:26:59;sdd;8.22;376.67;0.00;0.00;45.84;0.05;6.62;1.82
plotter1;60;2022-01-03 00:26:59;sde;43.27;1285.00;120.73;0.00;32.49;0.03;0.66;1.48
plotter1;60;2022-01-03 00:26:59;sde1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
plotter1;60;2022-01-03 00:26:59;sde2;43.27;1285.00;120.73;0.00;32.49;0.03;0.66;1.48
plotter1;60;2022-01-03 00:26:59;sdf;9.38;479.07;0.27;0.00;51.08;0.05;5.72;2.30
plotter1;60;2022-01-03 00:26:59;sdg;6.97;337.80;0.00;0.00;48.49;0.03;3.80;1.36
plotter1;60;2022-01-03 00:26:59;sdh;8.27;455.67;0.53;0.00;55.19;0.05;5.87;2.12
plotter1;60;2022-01-03 00:26:59;sdi;9.30;491.13;0.00;0.00;52.81;0.04;4.45;2.11
plotter1;60;2022-01-03 00:26:59;dm-0;791.10;27262.93;23121.27;24408.93;94.54;0.72;0.91;2.99
plotter1;60;2022-01-03 00:26:59;sdj;12.15;773.60;0.27;0.00;63.69;0.17;13.60;5.95
plotter1;60;2022-01-03 00:26:59;sdk;7.90;358.40;0.27;0.00;45.40;0.04;5.18;2.23
plotter1;60;2022-01-03 00:26:59;sdl;4.35;291.93;0.00;0.00;67.11;0.05;11.38;2.25
plotter1;60;2022-01-03 00:26:59;sdm;2.03;94.73;0.00;0.00;46.59;0.01;6.57;0.89
plotter1;60;2022-01-03 00:26:59;sdo;7.37;340.12;0.00;0.00;46.17;0.05;6.90;2.82
plotter1;60;2022-01-03 00:26:59;sdp;4.42;238.53;0.00;0.00;54.01;0.02;4.99;1.24
plotter1;60;2022-01-03 00:26:59;sdq;0.58;13.93;0.00;0.00;23.87;0.01;9.31;0.32
plotter1;60;2022-01-03 00:26:59;sdr;0.35;14.73;0.27;0.00;42.86;0.00;10.86;0.29
plotter1;60;2022-01-03 00:26:59;sds;3.28;167.47;0.00;0.00;51.01;0.03;9.32;1.65
plotter1;60;2022-01-03 00:26:59;sdt;0.83;40.00;0.00;0.00;48.00;0.01;9.02;0.48
plotter1;60;2022-01-03 00:26:59;sdu;6.22;359.33;0.00;0.00;57.80;0.03;5.10;1.78
plotter1;60;2022-01-03 00:26:59;sdv;1.33;66.40;0.27;0.00;50.00;0.01;7.88;0.67
plotter1;60;2022-01-03 00:26:59;sdx;3.88;203.27;0.00;0.00;52.34;0.03;6.79;1.28
plotter1;60;2022-01-03 00:26:59;sdy;2.43;121.07;0.00;0.00;49.75;0.02;8.05;1.07
plotter1;60;2022-01-03 00:26:59;sdz;2.37;120.73;0.00;0.00;51.01;0.02;8.55;0.93
plotter1;60;2022-01-03 00:26:59;sdaa;2.03;91.13;0.00;0.00;44.82;0.02;9.32;0.81
plotter1;60;2022-01-03 00:26:59;sdab;3.18;154.26;0.27;0.00;48.54;0.03;8.60;1.64
plotter1;60;2022-01-03 00:26:59;sdn;2.43;108.47;0.00;0.00;44.58;0.02;7.75;1.03
plotter1;60;2022-01-03 00:26:59;sdac;1.22;66.47;0.00;0.00;54.63;0.01;8.70;0.55
plotter1;60;2022-01-03 00:26:59;sdad;4.00;228.60;0.00;0.00;57.15;0.03;6.86;1.45
plotter1;60;2022-01-03 00:26:59;sdae;2.78;143.47;0.00;0.00;51.54;0.02;7.38;1.19
plotter1;60;2022-01-03 00:26:59;sdaf;0.77;34.13;0.00;0.00;44.52;0.01;7.26;0.31
plotter1;60;2022-01-03 00:26:59;sdag;2.92;144.12;0.00;0.00;49.41;0.03;8.67;1.46
plotter1;60;2022-01-03 00:26:59;sdah;0.97;59.13;0.00;0.00;61.17;0.01;8.81;0.65
plotter1;60;2022-01-03 00:26:59;sdai;2.78;159.19;0.00;0.00;57.19;0.03;10.62;1.39
plotter1;60;2022-01-03 00:26:59;sdaj;2.05;133.27;0.00;0.00;65.01;0.01;6.81;0.86
plotter1;60;2022-01-03 00:26:59;sdal;4.82;223.73;0.27;0.00;46.51;0.05;11.28;2.32
plotter1;60;2022-01-03 00:26:59;sdam;2.78;162.00;0.00;0.00;58.20;0.02;6.92;1.11
plotter1;60;2022-01-03 00:26:59;sdan;3.08;159.07;0.00;0.00;51.59;0.03;8.98;1.30
plotter1;60;2022-01-03 00:26:59;sdao;3.58;207.20;0.00;0.00;57.82;0.02;6.78;1.38
plotter1;60;2022-01-03 00:26:59;sdap;3.83;193.20;0.00;0.00;50.40;0.03;8.37;1.92
plotter1;60;2022-01-03 00:26:59;sdaq;1.07;62.13;0.00;0.00;58.25;0.01;6.06;0.37
plotter1;60;2022-01-03 00:26:59;sdar;4.53;260.27;0.00;0.00;57.41;0.03;7.33;1.98
plotter1;60;2022-01-03 00:26:59;sdw;2.90;125.13;0.00;0.00;43.15;0.02;7.38;1.27
plotter1;60;2022-01-03 00:26:59;sdak;2.68;126.20;0.00;0.00;47.03;0.03;9.42;1.40
plotter1;60;2022-01-03 00:26:59;sdas;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
plotter1;60;2022-01-03 00:27:59;nvme1n1;1.75;118.40;0.20;0.00;67.77;0.00;0.98;0.24
plotter1;60;2022-01-03 00:27:59;nvme0n1;2.08;128.00;1.93;0.00;62.37;0.00;1.02;0.27
plotter1;60;2022-01-03 00:27:59;nvme2n1;1.82;132.27;0.40;0.00;73.03;0.00;0.92;0.23
