# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-04 00:12:55,lo,9.17,9.17,4.60,4.60,0.00,0.00,0.00,0.00
plotter1,60,2022-01-04 00:12:55,enp6s0,594.05,1184.83,169.85,1586.43,0.00,0.00,0.42,0.52
plotter1,60,2022-01-04 00:13:55,lo,8.42,8.42,5.72,5.72,0.00,0.00,0.00,0.00
plotter1,60,2022-01-04 00:13:55,enp6s0,612.12,998.03,339.79,1264.44,0.00,0.00,0.42,0.41
plotter1,60,2022-01-04 00:14:55,lo,7.48,7.48,5.63,5.63,0.00,0.00,0.00,0.00
plotter1,60,2022-01-04 00:14:55,enp6s0,674.57,1165.87,349.00,1475.83,0.00,0.00,0.40,0.48
plotter1,60,2022-01-04 00:15:55,lo,7.07,7.07,6.56,6.56,0.00,0.00,0.00,0.00
plotter1,60,2022-01-04 00:15:55,enp6s0,640.60,1202.30,195.50,1577.60,0.00,0.00,0.40,0.52
plotter1,60,2022-01-04 00:16:55,lo,1.20,1.20,1.85,1.85,0.00,0.00,0.00,0.00
plotter1,60,2022-01-04 00:16:55,enp6s0,614.63,1087.82,169.26,1432.69,0.00,0.00,0.40,0.47
plotter1,60,2022-01-04 00:17:55,lo,1.57,1.57,2.90,2.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-04 00:17:55,enp6s0,625.28,1099.67,205.85,1429.54,0.00,0.00,0.40,0.47
