# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-02 23:50:19,lo,12.47,12.47,6.52,6.52,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:50:19,enp6s0,501.42,955.37,94.49,1265.40,0.00,0.00,0.40,0.41
plotter1,60,2022-01-02 23:51:19,lo,8.87,8.87,5.59,5.59,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:51:19,enp6s0,767.65,1179.45,405.83,1494.96,0.00,0.00,0.42,0.49
plotter1,60,2022-01-02 23:52:19,lo,8.45,8.45,6.20,6.20,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:52:19,enp6s0,692.37,1117.62,314.35,1414.58,0.00,0.00,0.40,0.46
plotter1,60,2022-01-02 23:53:19,lo,6.92,6.92,4.74,4.74,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:53:19,enp6s0,564.82,993.42,183.83,1304.17,0.00,0.00,0.42,0.43
plotter1,60,2022-01-02 23:54:19,lo,6.50,6.50,3.95,3.95,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:54:19,enp6s0,640.55,1187.75,164.07,1580.31,0.00,0.00,0.40,0.52
plotter1,60,2022-01-02 23:55:19,lo,6.75,6.75,4.87,4.87,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:55:19,enp6s0,704.38,1226.18,246.43,1613.68,0.00,0.00,0.43,0.53
