# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
plotter1,60,2022-01-03 00:26:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:27:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:28:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:29:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:30:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:31:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:32:59,/dev/mapper/vg_raid-raid0,2284341,575866,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:33:59,/dev/mapper/vg_raid-raid0,2284329,575878,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:34:59,/dev/mapper/vg_raid-raid0,2284320,575887,20.13,20.13,586056220,228,0.00
plotter1,60,2022-01-03 00:35:59,/dev/mapper/vg_raid-raid0,2284303,575904,20.14,20.14,586056220,228,0.00
plotter1,60,2022-01-03 00:36:59,/dev/mapper/vg_raid-raid0,2284281,575926,20.14,20.14,586056220,228,0.00
plotter1,60,2022-01-03 00:37:59,/dev/mapper/vg_raid-raid0,2284265,575942,20.14,20.14,586056220,228,0.00
