# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-03 00:26:59,0,845,4.56,4.85,4.89,1
plotter1,60,2022-01-03 00:27:59,1,845,5.03,4.90,4.91,8
plotter1,60,2022-01-03 00:28:59,1,844,4.88,4.91,4.91,6
plotter1,60,2022-01-03 00:29:59,0,845,4.07,4.71,4.84,0
plotter1,60,2022-01-03 00:30:59,0,841,3.64,4.56,4.79,0
plotter1,60,2022-01-03 00:31:59,1,842,4.26,4.55,4.77,0
plotter1,60,2022-01-03 00:32:59,1,844,4.43,4.51,4.74,0
plotter1,60,2022-01-03 00:33:59,1,850,5.08,4.71,4.79,6
plotter1,60,2022-01-03 00:34:59,0,854,4.63,4.59,4.74,1
plotter1,60,2022-01-03 00:35:59,1,855,5.34,4.78,4.80,0
plotter1,60,2022-01-03 00:36:59,1,853,6.27,5.11,4.91,0
plotter1,60,2022-01-03 00:37:59,1,842,7.56,5.64,5.10,8
