# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-08 00:31:46,lo,11.25,11.25,5.76,5.76,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 00:31:46,enp9s0,802.05,1250.75,378.36,1617.76,0.00,0.00,0.42,0.53
plotter1,60,2022-01-08 00:32:46,lo,10.18,10.18,7.94,7.94,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 00:32:46,enp9s0,642.22,1147.82,212.91,1496.49,0.00,0.00,0.42,0.49
plotter1,60,2022-01-08 00:33:46,lo,1.63,1.63,2.74,2.74,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 00:33:46,enp9s0,708.48,1135.97,312.92,1441.12,0.00,0.00,0.42,0.47
plotter1,60,2022-01-08 00:34:46,lo,1.07,1.07,1.29,1.29,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 00:34:46,enp9s0,593.97,1059.97,173.95,1382.47,0.00,0.00,0.42,0.45
plotter1,60,2022-01-08 00:35:46,lo,5.75,5.75,61.16,61.16,0.00,0.00,0.00,0.00
plotter1,60,2022-01-08 00:35:46,enp9s0,622.62,1059.78,238.09,1368.15,0.00,0.00,0.42,0.45
