# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
plotter1,60,2022-05-25 11:50:41,/dev/nvme0n1,897887,55981,5.87,5.87,10004703,12574,0.13
plotter1,60,2022-05-25 11:51:41,/dev/nvme0n1,897887,55981,5.87,5.87,10004703,12574,0.13
plotter1,60,2022-05-25 11:52:41,/dev/nvme0n1,897887,55981,5.87,5.87,10004703,12574,0.13
plotter1,60,2022-05-25 11:53:41,/dev/nvme0n1,897887,55981,5.87,5.87,10004703,12574,0.13
plotter1,60,2022-05-25 11:54:41,/dev/nvme0n1,897887,55981,5.87,5.87,10004703,12574,0.13
plotter1,60,2022-05-25 11:55:41,/dev/nvme0n1,897887,55981,5.87,5.87,10004703,12574,0.13
plotter1,60,2022-05-25 11:56:41,/dev/nvme0n1,897877,55990,5.87,5.87,10004699,12578,0.13
plotter1,60,2022-05-25 11:57:41,/dev/nvme0n1,897877,55990,5.87,5.87,10004699,12578,0.13
plotter1,60,2022-05-25 11:58:41,/dev/nvme0n1,897877,55990,5.87,5.87,10004699,12578,0.13
plotter1,60,2022-05-25 11:59:41,/dev/nvme0n1,897877,55990,5.87,5.87,10004699,12578,0.13
plotter1,60,2022-05-25 12:00:41,/dev/nvme0n1,897874,55994,5.87,5.87,10004697,12580,0.13
plotter1,60,2022-05-25 12:01:41,/dev/nvme0n1,897872,55995,5.87,5.87,10004697,12580,0.13
plotter1,60,2022-05-25 12:02:41,/dev/nvme0n1,897872,55995,5.87,5.87,10004697,12580,0.13
plotter1,60,2022-05-25 12:03:41,/dev/nvme0n1,897872,55995,5.87,5.87,10004696,12581,0.13
plotter1,60,2022-05-25 12:04:41,/dev/nvme0n1,897872,55995,5.87,5.87,10004696,12581,0.13
plotter1,60,2022-05-25 12:05:41,/dev/nvme0n1,897872,55995,5.87,5.87,10004696,12581,0.13
plotter1,60,2022-05-25 12:06:41,/dev/nvme0n1,897872,55995,5.87,5.87,10004696,12581,0.13
plotter1,60,2022-05-25 12:07:41,/dev/nvme0n1,897872,55996,5.87,5.87,10004696,12581,0.13
plotter1,60,2022-05-25 12:08:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:09:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:10:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:11:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:12:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:13:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:14:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:15:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:16:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:17:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:18:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:19:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:20:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:21:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:22:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:23:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:24:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:25:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:26:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:27:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:28:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:29:41,/dev/nvme0n1,897869,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:30:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:31:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:32:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:33:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:34:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:35:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:36:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:37:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:38:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:39:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:40:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:41:41,/dev/nvme0n1,897868,55999,5.87,5.87,10004695,12582,0.13
plotter1,60,2022-05-25 12:42:41,/dev/nvme0n1,897865,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:43:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:44:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:45:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:46:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:47:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:48:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:49:41,/dev/nvme0n1,897864,56003,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:50:41,/dev/nvme0n1,897864,56004,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:51:41,/dev/nvme0n1,897864,56004,5.87,5.87,10004694,12583,0.13
plotter1,60,2022-05-25 12:52:41,/dev/nvme0n1,897864,56004,5.87,5.87,10004694,12583,0.13
