# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-05-25 11:50:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:51:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:52:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:53:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:54:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:55:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:56:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:57:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:58:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 11:59:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:00:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:01:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:02:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:03:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:04:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:05:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:06:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:07:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:08:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:09:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:10:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:11:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:12:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:13:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:14:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:15:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:16:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:17:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:18:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:19:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:20:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:21:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:22:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:23:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:24:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:25:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:26:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:27:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:28:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:29:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:30:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:31:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:32:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:33:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:34:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:35:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:36:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:37:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:38:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:39:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:40:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:41:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:42:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:43:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:44:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:45:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:46:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:47:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:48:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:49:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:50:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:51:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:52:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:53:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:54:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:55:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:56:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:57:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:58:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 12:59:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:00:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:01:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:02:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:03:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:04:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:05:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:06:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:07:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:08:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:09:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:10:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:11:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:12:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:13:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:14:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:15:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:16:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:17:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:18:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:19:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:20:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:21:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:22:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:23:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:24:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:25:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:26:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:27:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:28:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:29:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:30:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:31:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:32:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:33:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:34:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:35:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:36:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:37:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:38:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:39:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:40:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:41:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:42:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:43:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:44:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:45:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:46:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:47:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:48:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:49:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:50:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:51:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:52:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:53:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:54:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:55:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:56:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:57:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:58:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 13:59:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:00:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:01:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:02:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:03:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:04:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:05:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:06:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:07:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:08:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:09:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:10:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:11:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:12:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:13:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:14:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:15:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:16:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:17:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:18:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:19:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:20:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:21:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:22:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:23:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:24:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:25:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:26:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:27:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:28:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:29:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:30:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:31:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:32:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:33:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:34:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:35:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:36:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:37:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:38:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:39:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:40:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:41:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:42:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:43:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:44:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:45:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:46:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:47:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:48:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:49:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:50:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:51:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:52:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:53:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:54:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:55:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:56:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:57:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:58:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 14:59:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:00:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:01:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:02:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:03:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:04:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:05:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:06:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:07:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:08:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:09:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:10:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:11:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:12:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:13:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:14:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:15:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:16:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:17:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:18:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:19:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:20:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:21:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:22:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:23:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:24:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:25:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:26:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:27:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:28:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:29:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:30:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:31:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:32:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:33:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:34:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:35:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:36:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:37:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:38:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:39:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:40:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:41:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:42:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:43:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:44:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:45:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:46:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:47:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:48:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:49:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:50:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:51:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:52:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:53:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:54:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:55:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:56:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:57:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:58:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 15:59:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:00:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:01:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:02:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:03:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:04:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:05:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:06:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:07:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:08:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:09:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:10:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:11:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:12:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:13:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:14:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:15:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:16:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:17:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:18:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:19:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:20:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:21:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:22:41,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 16:23:41,9352,56180,85.73,792,1.41
