# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-05-25 11:50:41,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:50:41,nvme0n1,1183.52,84213.47,427182.73,426410.13,792.39,480.73,406.19,50.90
plotter1,60,2022-05-25 11:50:41,sda,2.97,165.20,0.00,0.00,55.69,0.01,4.17,0.90
plotter1,60,2022-05-25 11:50:41,sdb,7.50,656.80,0.00,0.00,87.57,0.04,4.83,2.13
plotter1,60,2022-05-25 11:50:41,sdc,5.12,326.27,0.00,0.00,63.77,0.02,4.75,1.44
plotter1,60,2022-05-25 11:50:41,sdd,5.32,309.60,0.00,0.00,58.23,0.02,4.35,1.37
plotter1,60,2022-05-25 11:50:41,sde,61.98,1721.00,100.87,0.00,29.39,0.03,0.51,1.96
plotter1,60,2022-05-25 11:50:41,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:50:41,sde2,61.65,1720.87,100.87,0.00,29.55,0.03,0.51,1.92
plotter1,60,2022-05-25 11:50:41,sdf,9.20,665.13,0.00,0.00,72.30,0.06,6.54,2.99
plotter1,60,2022-05-25 11:50:41,sdg,4.88,319.07,0.00,0.00,65.34,0.03,5.85,1.53
plotter1,60,2022-05-25 11:51:41,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:51:41,nvme0n1,1426.17,6597.67,4771.07,0.00,7.97,0.76,0.53,16.90
plotter1,60,2022-05-25 11:51:41,sda,6.42,421.13,0.00,0.00,65.63,0.04,6.03,1.85
plotter1,60,2022-05-25 11:51:41,sdb,6.43,464.93,0.00,0.00,72.27,0.12,18.18,3.54
plotter1,60,2022-05-25 11:51:41,sdc,5.13,384.47,0.00,0.00,74.90,0.05,10.34,2.00
plotter1,60,2022-05-25 11:51:41,sdd,5.52,432.47,0.00,0.00,78.39,0.03,4.56,1.59
plotter1,60,2022-05-25 11:51:41,sde,6.00,54.13,31.87,0.00,14.33,0.01,2.08,0.11
plotter1,60,2022-05-25 11:51:41,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:51:41,sde2,6.00,54.13,31.87,0.00,14.33,0.01,2.08,0.12
plotter1,60,2022-05-25 11:51:41,sdf,6.37,461.80,0.00,0.00,72.53,0.07,10.27,2.41
plotter1,60,2022-05-25 11:51:41,sdg,5.75,402.07,0.00,0.00,69.92,0.06,11.01,2.17
plotter1,60,2022-05-25 11:52:41,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:52:41,nvme0n1,1585.87,7136.00,8965.93,0.00,10.15,0.67,0.42,18.43
plotter1,60,2022-05-25 11:52:41,sda,2.63,149.00,0.00,0.00,56.58,0.01,4.58,0.81
plotter1,60,2022-05-25 11:52:41,sdb,4.35,294.80,0.00,0.00,67.77,0.02,4.78,1.32
plotter1,60,2022-05-25 11:52:41,sdc,4.07,278.80,0.00,0.00,68.56,0.02,5.44,1.18
plotter1,60,2022-05-25 11:52:41,sdd,6.03,438.73,0.00,0.00,72.72,0.03,4.56,1.92
plotter1,60,2022-05-25 11:52:41,sde,6.77,62.87,32.93,0.00,14.16,0.01,1.62,0.19
plotter1,60,2022-05-25 11:52:41,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:52:41,sde2,6.43,62.73,32.93,0.00,14.87,0.01,1.68,0.17
plotter1,60,2022-05-25 11:52:41,sdf,4.62,322.60,0.00,0.00,69.88,0.02,4.59,1.32
plotter1,60,2022-05-25 11:52:41,sdg,9.87,694.27,0.00,0.00,70.36,0.07,7.36,2.91
plotter1,60,2022-05-25 11:53:41,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:53:41,nvme0n1,1476.57,6824.13,9948.93,0.00,11.36,0.17,0.11,17.60
plotter1,60,2022-05-25 11:53:41,sda,6.43,471.40,0.00,0.00,73.27,0.04,6.49,1.95
plotter1,60,2022-05-25 11:53:41,sdb,4.47,284.00,0.00,0.00,63.58,0.02,4.76,1.30
plotter1,60,2022-05-25 11:53:41,sdc,4.58,307.40,0.00,0.00,67.07,0.02,4.28,1.25
plotter1,60,2022-05-25 11:53:41,sdd,4.92,320.07,0.00,0.00,65.10,0.06,13.18,2.31
