# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-05-25 11:50:41,1,608,2.07,1.94,1.99,1
plotter1,60,2022-05-25 11:51:41,9,618,5.63,2.92,2.32,0
plotter1,60,2022-05-25 11:52:41,1,618,5.34,3.30,2.49,0
plotter1,60,2022-05-25 11:53:41,0,618,6.22,3.83,2.72,0
plotter1,60,2022-05-25 11:54:41,4,617,3.85,3.54,2.68,0
plotter1,60,2022-05-25 11:55:41,8,617,3.21,3.48,2.72,0
plotter1,60,2022-05-25 11:56:41,0,616,2.58,3.20,2.67,0
plotter1,60,2022-05-25 11:57:41,2,616,3.28,3.24,2.71,0
plotter1,60,2022-05-25 11:58:41,1,617,4.63,3.60,2.87,0
plotter1,60,2022-05-25 11:59:41,3,617,5.01,3.84,2.99,0
plotter1,60,2022-05-25 12:00:41,1,617,5.42,4.23,3.19,0
plotter1,60,2022-05-25 12:01:41,0,617,5.44,4.46,3.33,1
plotter1,60,2022-05-25 12:02:41,3,617,4.68,4.45,3.40,0
plotter1,60,2022-05-25 12:03:41,8,615,5.61,4.69,3.55,0
plotter1,60,2022-05-25 12:04:41,1,615,4.95,4.60,3.58,0
plotter1,60,2022-05-25 12:05:41,1,615,4.23,4.47,3.60,0
plotter1,60,2022-05-25 12:06:41,0,615,3.66,4.24,3.57,0
plotter1,60,2022-05-25 12:07:41,1,615,3.55,4.14,3.58,0
plotter1,60,2022-05-25 12:08:41,8,615,3.42,3.99,3.57,0
plotter1,60,2022-05-25 12:09:41,0,614,3.74,3.97,3.58,0
plotter1,60,2022-05-25 12:10:41,9,615,2.22,3.48,3.44,0
plotter1,60,2022-05-25 12:11:41,8,617,2.41,3.33,3.39,0
plotter1,60,2022-05-25 12:12:41,8,618,3.04,3.31,3.37,0
plotter1,60,2022-05-25 12:13:41,2,618,3.29,3.30,3.36,0
plotter1,60,2022-05-25 12:14:41,0,616,3.13,3.22,3.33,0
plotter1,60,2022-05-25 12:15:41,8,611,2.19,2.92,3.22,0
plotter1,60,2022-05-25 12:16:41,8,609,4.41,3.41,3.37,0
plotter1,60,2022-05-25 12:17:41,1,608,4.26,3.55,3.42,0
plotter1,60,2022-05-25 12:18:41,0,610,3.89,3.50,3.40,0
plotter1,60,2022-05-25 12:19:41,5,609,4.40,3.63,3.45,0
plotter1,60,2022-05-25 12:20:41,8,610,3.45,3.55,3.43,2
plotter1,60,2022-05-25 12:21:41,8,610,3.33,3.53,3.44,0
plotter1,60,2022-05-25 12:22:41,2,610,5.56,4.08,3.63,0
plotter1,60,2022-05-25 12:23:41,5,609,4.71,4.18,3.69,0
plotter1,60,2022-05-25 12:24:41,1,609,5.29,4.48,3.83,0
plotter1,60,2022-05-25 12:25:41,0,609,5.27,4.57,3.90,0
plotter1,60,2022-05-25 12:26:41,1,609,4.64,4.44,3.89,0
plotter1,60,2022-05-25 12:27:41,1,609,5.15,4.61,3.98,0
plotter1,60,2022-05-25 12:28:41,5,609,4.28,4.44,3.97,0
plotter1,60,2022-05-25 12:29:41,0,609,4.30,4.43,3.99,0
plotter1,60,2022-05-25 12:30:41,0,609,2.90,4.00,3.87,0
plotter1,60,2022-05-25 12:31:41,8,609,4.50,4.23,3.96,0
plotter1,60,2022-05-25 12:32:41,1,610,3.07,3.87,3.85,0
plotter1,60,2022-05-25 12:33:41,8,610,2.97,3.74,3.81,0
plotter1,60,2022-05-25 12:34:41,0,610,2.72,3.52,3.72,0
plotter1,60,2022-05-25 12:35:41,1,610,3.77,3.67,3.76,0
plotter1,60,2022-05-25 12:36:41,4,608,3.98,3.79,3.80,0
plotter1,60,2022-05-25 12:37:41,9,608,3.54,3.72,3.78,0
plotter1,60,2022-05-25 12:38:41,8,608,3.52,3.65,3.75,0
plotter1,60,2022-05-25 12:39:41,2,608,4.19,3.76,3.78,0
plotter1,60,2022-05-25 12:40:41,1,609,5.02,4.04,3.87,0
plotter1,60,2022-05-25 12:41:41,2,610,3.37,3.75,3.78,0
plotter1,60,2022-05-25 12:42:41,8,610,3.01,3.58,3.72,0
plotter1,60,2022-05-25 12:43:41,1,610,4.14,3.72,3.75,0
plotter1,60,2022-05-25 12:44:41,0,610,4.19,3.80,3.78,0
