# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-05-25 11:50:41,98749768,103249328,1592952,1.21,84048,30885432,28870424,21.91,303628,31874180,5320
plotter1,60,2022-05-25 11:51:41,97095332,102161148,2667280,2.03,86044,31437516,32344792,24.55,562548,33218444,74260
plotter1,60,2022-05-25 11:52:41,96316108,101957080,2861692,2.17,87268,32001648,32366428,24.56,812760,33721812,61980
plotter1,60,2022-05-25 11:53:41,95483004,101678812,3132724,2.38,89840,32546512,32413628,24.60,1049928,34295972,98968
plotter1,60,2022-05-25 11:54:41,94390960,100981732,3825004,2.90,90368,32936040,32441728,24.62,1239300,35195260,323692
plotter1,60,2022-05-25 11:55:41,93552928,100508564,4293036,3.26,90820,33295828,32620708,24.76,1439976,35822688,56348
plotter1,60,2022-05-25 11:56:41,93356972,100587712,4211228,3.20,91764,33566956,32476044,24.65,1581108,35877844,29844
plotter1,60,2022-05-25 11:57:41,93103696,100650512,4147128,3.15,92280,33878524,32395932,24.58,1768032,35934076,327104
plotter1,60,2022-05-25 11:58:41,92645712,100561312,4237220,3.22,92576,34240420,32476480,24.65,1997844,36156568,327488
plotter1,60,2022-05-25 11:59:41,92308948,100550100,4248368,3.23,92980,34557288,32475840,24.65,2171044,36300540,171908
plotter1,60,2022-05-25 12:00:41,91843828,100537720,4259876,3.23,93400,35003724,32479924,24.65,2395196,36530920,409348
plotter1,60,2022-05-25 12:01:41,91330688,100538060,4260496,3.23,93768,35506812,32488132,24.65,2806444,36635664,251940
plotter1,60,2022-05-25 12:02:41,91033784,100519432,4278596,3.25,94080,35774744,32488160,24.65,2971420,36739228,248884
plotter1,60,2022-05-25 12:03:41,90758512,100551264,4247752,3.23,94432,36074448,32487544,24.65,3143164,36867260,184500
plotter1,60,2022-05-25 12:04:41,90434212,100527624,4270932,3.24,94792,36369980,32487516,24.65,3258564,37047996,61012
plotter1,60,2022-05-25 12:05:41,90062144,100507612,4290952,3.26,95024,36715748,32487520,24.65,3543616,37110808,257040
plotter1,60,2022-05-25 12:06:41,89794112,100510592,4287940,3.26,95396,36980076,32487528,24.65,3726832,37191504,1162004
plotter1,60,2022-05-25 12:07:41,89565008,100514308,4284232,3.25,95624,37209848,32488932,24.66,3834212,37316884,858504
