# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-05-25 11:50:41,-1,1.43,0.00,2.30,3.44,0.00,92.83
plotter1,60,2022-05-25 11:51:41,-1,22.17,0.00,0.46,2.76,0.00,74.61
plotter1,60,2022-05-25 11:52:41,-1,26.00,0.00,0.44,1.53,0.00,72.03
plotter1,60,2022-05-25 11:53:41,-1,26.26,0.00,0.52,2.03,0.00,71.19
plotter1,60,2022-05-25 11:54:41,-1,13.44,0.00,0.67,1.91,0.00,83.99
plotter1,60,2022-05-25 11:55:41,-1,15.79,0.00,0.71,1.46,0.00,82.03
plotter1,60,2022-05-25 11:56:41,-1,8.39,0.00,0.52,0.99,0.00,90.11
plotter1,60,2022-05-25 11:57:41,-1,11.87,0.00,0.57,1.18,0.00,86.38
plotter1,60,2022-05-25 11:58:41,-1,20.28,0.00,0.76,1.91,0.00,77.05
plotter1,60,2022-05-25 11:59:41,-1,27.19,0.00,0.47,1.26,0.00,71.08
plotter1,60,2022-05-25 12:00:41,-1,24.67,0.00,0.47,1.84,0.00,73.02
plotter1,60,2022-05-25 12:01:41,-1,23.95,0.00,0.62,1.23,0.00,74.19
plotter1,60,2022-05-25 12:02:41,-1,27.89,0.00,0.53,1.12,0.00,70.45
plotter1,60,2022-05-25 12:03:41,-1,30.08,0.00,0.52,1.55,0.00,67.85
plotter1,60,2022-05-25 12:04:41,-1,25.37,0.00,0.44,1.74,0.00,72.45
plotter1,60,2022-05-25 12:05:41,-1,22.60,0.00,0.73,1.39,0.00,75.28
plotter1,60,2022-05-25 12:06:41,-1,14.55,0.00,0.66,1.27,0.00,83.52
plotter1,60,2022-05-25 12:07:41,-1,14.56,0.00,0.68,1.28,0.00,83.47
plotter1,60,2022-05-25 12:08:41,-1,17.44,0.00,0.81,0.76,0.00,80.99
plotter1,60,2022-05-25 12:09:41,-1,17.59,0.00,0.74,1.11,0.00,80.56
plotter1,60,2022-05-25 12:10:41,-1,6.24,0.00,0.46,1.76,0.00,91.55
plotter1,60,2022-05-25 12:11:41,-1,8.34,0.00,0.49,1.58,0.00,89.59
plotter1,60,2022-05-25 12:12:41,-1,10.55,0.00,0.54,1.18,0.00,87.73
plotter1,60,2022-05-25 12:13:41,-1,9.98,0.00,0.59,0.89,0.00,88.54
plotter1,60,2022-05-25 12:14:41,-1,11.72,0.00,0.65,1.41,0.00,86.22
