# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-05-25 18:34:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:35:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:36:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:37:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:38:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:39:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:40:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:41:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:42:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:43:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:44:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:45:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:46:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:47:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:48:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:49:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:50:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:51:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:52:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:53:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:54:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:55:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:56:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:57:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:58:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 18:59:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:00:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:01:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:02:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:03:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:04:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:05:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:06:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:07:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:08:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:09:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:10:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:11:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:12:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:13:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:14:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:15:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:16:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:17:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:18:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:19:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:20:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:21:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:22:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:23:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:24:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:25:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:26:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:27:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:28:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:29:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:30:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:31:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:32:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:33:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:34:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:35:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:36:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:37:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:38:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:39:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:40:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:41:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:42:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:43:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:44:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:45:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:46:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:47:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:48:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:49:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:50:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:51:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:52:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:53:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:54:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:55:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:56:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:57:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:58:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 19:59:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:00:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:01:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:02:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:03:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:04:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:05:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:06:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:07:22,9352,56180,85.73,792,1.41
plotter1,60,2022-05-25 20:08:22,9352,56180,85.73,792,1.41
