# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-05-25 18:34:22,lo,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:34:22,enp6s0,196.57,362.37,26.78,498.48,0.00,0.00,0.00,0.16
plotter1,60,2022-05-25 18:34:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:35:22,lo,17.63,17.63,10.07,10.07,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:35:22,enp6s0,402.08,378.30,396.03,360.97,0.00,0.00,0.00,0.13
plotter1,60,2022-05-25 18:35:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:36:22,lo,13.37,13.37,11.83,11.83,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:36:22,enp6s0,426.67,420.00,389.46,448.68,0.00,0.00,0.00,0.15
plotter1,60,2022-05-25 18:36:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:37:22,lo,11.90,11.90,12.61,12.61,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:37:22,enp6s0,446.60,435.10,414.75,445.41,0.00,0.00,0.00,0.15
plotter1,60,2022-05-25 18:37:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:38:22,lo,13.25,13.25,12.44,12.44,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:38:22,enp6s0,640.42,487.98,692.52,458.80,0.00,0.00,0.00,0.23
plotter1,60,2022-05-25 18:38:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:39:22,lo,12.68,12.68,14.93,14.93,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:39:22,enp6s0,923.88,594.57,1058.92,454.92,0.00,0.00,0.00,0.35
plotter1,60,2022-05-25 18:39:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:40:22,lo,13.08,13.08,18.34,18.34,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:40:22,enp6s0,1059.30,550.42,1256.49,452.90,0.00,0.00,0.02,0.41
plotter1,60,2022-05-25 18:40:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:41:22,lo,9.90,9.90,13.26,13.26,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:41:22,enp6s0,706.70,496.30,784.85,413.45,0.00,0.00,0.00,0.26
plotter1,60,2022-05-25 18:41:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:42:22,lo,12.45,12.45,15.98,15.98,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:42:22,enp6s0,683.55,521.05,721.08,404.36,0.00,0.00,0.00,0.24
plotter1,60,2022-05-25 18:42:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:43:22,lo,8.77,8.77,12.44,12.44,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:43:22,enp6s0,768.62,500.43,884.24,406.87,0.00,0.00,0.00,0.29
plotter1,60,2022-05-25 18:43:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:44:22,lo,23.47,23.47,34.47,34.47,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:44:22,enp6s0,530.48,509.75,466.67,487.59,0.00,0.00,0.00,0.16
plotter1,60,2022-05-25 18:44:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:45:22,lo,9.20,9.20,13.88,13.88,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:45:22,enp6s0,530.28,516.93,471.77,499.99,0.00,0.00,0.00,0.16
plotter1,60,2022-05-25 18:45:22,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
