# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-05-25 18:34:22,2,590,2.69,3.94,4.59,0
plotter1,60,2022-05-25 18:35:22,10,615,2.66,3.69,4.46,1
plotter1,60,2022-05-25 18:36:22,0,614,4.46,3.97,4.51,1
plotter1,60,2022-05-25 18:37:22,2,613,4.35,4.06,4.50,0
plotter1,60,2022-05-25 18:38:22,1,613,4.94,4.35,4.58,0
plotter1,60,2022-05-25 18:39:22,0,612,4.49,4.30,4.55,0
plotter1,60,2022-05-25 18:40:22,3,611,4.98,4.48,4.59,0
plotter1,60,2022-05-25 18:41:22,7,614,2.91,3.99,4.42,6
plotter1,60,2022-05-25 18:42:22,5,614,2.71,3.80,4.33,0
plotter1,60,2022-05-25 18:43:22,8,614,3.35,3.81,4.30,0
plotter1,60,2022-05-25 18:44:22,2,614,6.00,4.43,4.48,0
plotter1,60,2022-05-25 18:45:22,0,614,5.47,4.62,4.54,1
plotter1,60,2022-05-25 18:46:22,0,612,4.81,4.48,4.50,0
plotter1,60,2022-05-25 18:47:22,8,611,4.70,4.54,4.52,0
plotter1,60,2022-05-25 18:48:22,1,613,5.55,4.79,4.61,0
plotter1,60,2022-05-25 18:49:22,0,613,4.63,4.66,4.57,0
plotter1,60,2022-05-25 18:50:22,8,614,5.85,5.01,4.70,0
plotter1,60,2022-05-25 18:51:22,1,614,4.87,4.87,4.67,0
plotter1,60,2022-05-25 18:52:22,4,613,4.55,4.76,4.64,0
plotter1,60,2022-05-25 18:53:22,1,613,3.96,4.51,4.56,0
plotter1,60,2022-05-25 18:54:22,1,614,3.98,4.42,4.52,0
plotter1,60,2022-05-25 18:55:22,1,613,3.82,4.31,4.48,0
plotter1,60,2022-05-25 18:56:22,1,613,3.75,4.22,4.44,0
plotter1,60,2022-05-25 18:57:22,0,613,3.45,4.02,4.35,1
plotter1,60,2022-05-25 18:58:22,1,612,3.81,3.98,4.31,0
plotter1,60,2022-05-25 18:59:22,9,611,4.55,4.18,4.36,0
plotter1,60,2022-05-25 19:00:22,5,613,3.10,3.82,4.23,0
plotter1,60,2022-05-25 19:01:22,1,613,3.59,3.82,4.20,0
plotter1,60,2022-05-25 19:02:22,8,613,3.51,3.71,4.13,0
plotter1,60,2022-05-25 19:03:22,8,613,4.38,3.96,4.19,0
plotter1,60,2022-05-25 19:04:22,2,613,4.82,4.15,4.24,0
plotter1,60,2022-05-25 19:05:22,1,612,5.04,4.35,4.31,0
plotter1,60,2022-05-25 19:06:22,5,613,5.33,4.54,4.37,0
plotter1,60,2022-05-25 19:07:22,1,613,5.18,4.60,4.40,4
plotter1,60,2022-05-25 19:08:22,8,613,4.44,4.49,4.37,0
plotter1,60,2022-05-25 19:09:22,0,613,4.13,4.45,4.37,0
plotter1,60,2022-05-25 19:10:22,8,612,4.15,4.31,4.32,0
plotter1,60,2022-05-25 19:11:22,2,612,4.02,4.20,4.28,6
plotter1,60,2022-05-25 19:12:22,1,612,4.06,4.16,4.26,0
plotter1,60,2022-05-25 19:13:22,0,613,3.96,4.11,4.24,0
plotter1,60,2022-05-25 19:14:22,1,613,5.09,4.31,4.29,0
plotter1,60,2022-05-25 19:15:22,1,613,6.30,4.83,4.47,0
plotter1,60,2022-05-25 19:16:22,1,612,4.00,4.47,4.37,0
plotter1,60,2022-05-25 19:17:22,1,612,4.70,4.53,4.40,0
plotter1,60,2022-05-25 19:18:22,0,613,4.14,4.37,4.34,0
plotter1,60,2022-05-25 19:19:22,2,612,5.29,4.69,4.46,0
plotter1,60,2022-05-25 19:20:22,0,614,4.91,4.72,4.49,0
plotter1,60,2022-05-25 19:21:22,1,613,4.01,4.44,4.40,8
plotter1,60,2022-05-25 19:22:22,1,614,2.86,4.01,4.25,0
plotter1,60,2022-05-25 19:23:22,1,613,3.56,4.04,4.25,0
plotter1,60,2022-05-25 19:24:22,3,613,4.72,4.24,4.30,0
plotter1,60,2022-05-25 19:25:22,1,613,4.66,4.25,4.29,0
plotter1,60,2022-05-25 19:26:22,6,613,4.23,4.17,4.27,0
plotter1,60,2022-05-25 19:27:22,3,613,4.83,4.39,4.34,0
plotter1,60,2022-05-25 19:28:22,1,613,5.00,4.46,4.36,0
plotter1,60,2022-05-25 19:29:22,1,612,4.94,4.50,4.38,2
plotter1,60,2022-05-25 19:30:22,1,611,4.52,4.47,4.37,0
plotter1,60,2022-05-25 19:31:22,7,613,5.17,4.61,4.42,0
plotter1,60,2022-05-25 19:32:22,1,614,4.32,4.45,4.38,0
plotter1,60,2022-05-25 19:33:22,4,614,4.70,4.64,4.45,0
plotter1,60,2022-05-25 19:34:22,2,614,5.43,4.78,4.51,0
plotter1,60,2022-05-25 19:35:22,1,614,5.20,4.81,4.54,0
plotter1,60,2022-05-25 19:36:22,8,612,4.99,4.85,4.57,0
plotter1,60,2022-05-25 19:37:22,8,612,4.74,4.85,4.59,0
plotter1,60,2022-05-25 19:38:22,1,612,3.92,4.59,4.52,0
plotter1,60,2022-05-25 19:39:22,2,612,3.35,4.33,4.43,0
plotter1,60,2022-05-25 19:40:22,0,612,3.64,4.25,4.40,0
plotter1,60,2022-05-25 19:41:22,1,613,3.90,4.21,4.37,0
plotter1,60,2022-05-25 19:42:22,2,613,3.31,3.95,4.27,0
plotter1,60,2022-05-25 19:43:22,1,613,3.60,3.93,4.24,0
plotter1,60,2022-05-25 19:44:22,0,613,3.62,3.86,4.20,0
plotter1,60,2022-05-25 19:45:22,0,613,2.87,3.56,4.07,0
plotter1,60,2022-05-25 19:46:22,1,613,3.60,3.60,4.05,0
plotter1,60,2022-05-25 19:47:22,1,613,4.28,3.86,4.11,0
plotter1,60,2022-05-25 19:48:22,1,612,4.33,3.96,4.13,0
plotter1,60,2022-05-25 19:49:22,2,612,3.80,3.90,4.10,0
plotter1,60,2022-05-25 19:50:22,1,614,3.87,3.93,4.10,0
plotter1,60,2022-05-25 19:51:22,1,614,4.49,4.13,4.16,0
plotter1,60,2022-05-25 19:52:22,2,613,4.60,4.19,4.18,0
plotter1,60,2022-05-25 19:53:22,0,613,3.94,4.01,4.11,1
plotter1,60,2022-05-25 19:54:22,1,613,3.14,3.80,4.03,0
plotter1,60,2022-05-25 19:55:22,1,612,3.13,3.67,3.97,0
plotter1,60,2022-05-25 19:56:22,0,612,3.25,3.60,3.92,0
plotter1,60,2022-05-25 19:57:22,1,613,3.37,3.55,3.89,0
plotter1,60,2022-05-25 19:58:22,1,613,3.70,3.64,3.90,0
plotter1,60,2022-05-25 19:59:22,10,613,3.47,3.66,3.89,0
plotter1,60,2022-05-25 20:00:22,2,612,4.20,3.81,3.93,0
plotter1,60,2022-05-25 20:01:22,0,613,4.41,3.89,3.95,0
plotter1,60,2022-05-25 20:02:22,1,612,4.99,4.15,4.03,0
plotter1,60,2022-05-25 20:03:22,1,612,3.14,3.82,3.93,0
plotter1,60,2022-05-25 20:04:22,9,613,3.73,3.85,3.93,0
plotter1,60,2022-05-25 20:05:22,2,613,4.14,3.87,3.92,0
plotter1,60,2022-05-25 20:06:22,10,612,4.27,4.01,3.97,0
plotter1,60,2022-05-25 20:07:22,7,612,4.22,4.09,4.00,0
plotter1,60,2022-05-25 20:08:22,8,612,4.73,4.27,4.07,0
plotter1,60,2022-05-25 20:09:22,0,613,4.44,4.28,4.09,0
plotter1,60,2022-05-25 20:10:22,1,612,4.16,4.12,4.04,0
plotter1,60,2022-05-25 20:11:22,1,614,5.50,4.43,4.15,0
plotter1,60,2022-05-25 20:12:22,1,614,5.02,4.43,4.16,0
plotter1,60,2022-05-25 20:13:22,1,614,4.54,4.45,4.19,0
plotter1,60,2022-05-25 20:14:22,2,613,3.73,4.23,4.13,0
plotter1,60,2022-05-25 20:15:22,1,613,3.02,3.90,4.01,0
plotter1,60,2022-05-25 20:16:22,1,612,3.64,3.92,4.01,0
plotter1,60,2022-05-25 20:17:22,2,611,3.19,3.76,3.95,0
plotter1,60,2022-05-25 20:18:22,1,612,3.89,3.82,3.96,0
plotter1,60,2022-05-25 20:19:22,0,612,2.87,3.58,3.87,0
plotter1,60,2022-05-25 20:20:22,1,613,3.04,3.57,3.85,0
