# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-05-25 18:34:22,36765224,104069084,730640,0.55,48748,93273216,28369180,21.53,654328,92995232,0
plotter1,60,2022-05-25 18:35:22,102711952,103228692,1569360,1.19,85336,26854304,32364716,24.56,303564,27814928,944
plotter1,60,2022-05-25 18:36:22,100779348,103054520,1743916,1.32,86880,28589604,32368360,24.56,704908,29324464,1280
plotter1,60,2022-05-25 18:37:22,99618356,103029060,1769396,1.34,87408,29714880,32368620,24.56,1151544,30015880,704
plotter1,60,2022-05-25 18:38:22,97974028,102293328,2505088,1.90,88968,30617956,32368868,24.56,1534416,31270592,636
plotter1,60,2022-05-25 18:39:22,96441020,101926360,2872112,2.18,90340,31780648,32423892,24.61,2167804,32161572,312
plotter1,60,2022-05-25 18:40:22,95696596,101876192,2922188,2.22,91892,32474376,32484572,24.65,2701800,32386512,268
plotter1,60,2022-05-25 18:41:22,95295988,101829920,2968616,2.25,92484,32833324,32550088,24.70,2978556,32517460,340
plotter1,60,2022-05-25 18:42:22,94956180,101839308,2958920,2.25,92824,33189172,32509084,24.67,3276344,32559180,292
plotter1,60,2022-05-25 18:43:22,94621604,101857284,2940816,2.23,93220,33545336,32509132,24.67,3601512,32574420,528
plotter1,60,2022-05-25 18:44:22,94280356,101862096,2936504,2.23,93688,33888688,32509096,24.67,3826268,32696540,436
plotter1,60,2022-05-25 18:45:22,93790968,101828664,2969200,2.25,94116,34342772,32509088,24.67,4130944,32867640,5980
plotter1,60,2022-05-25 18:46:22,93192128,101811636,2987048,2.27,94612,34921044,32511140,24.67,4549172,33038428,676
plotter1,60,2022-05-25 18:47:22,92983776,101830888,2967308,2.25,94924,35147924,32491808,24.66,4718108,33089348,380
plotter1,60,2022-05-25 18:48:22,92672232,101810192,2987996,2.27,95316,35437244,32511152,24.67,4926608,33176900,752
plotter1,60,2022-05-25 18:49:22,92396812,101807112,2991152,2.27,95596,35708820,32511168,24.67,5084484,33291048,460
